vi,ch
"Giang thuỷ trừng thanh giang nguyệt bạch,",江水澄清江月白，
Dạ long biển chu Nam Phố dịch.,夜攏扁舟南浦驛。
"Thuỳ gia niên thiếu bất giải sầu,",誰家年少不解愁，
Tần hướng thuyền đầu khổ xuy địch.,頻向船頭苦吹笛。
"Địch thanh phiêu phiêu cao nhập vân,",笛聲飄飄高入雲，
Ly nhân cánh sầu bất nhẫn văn.,離人更愁不忍聞。
"Thương thanh liệu lượng vũ thanh cấp,",商聲嘹亮羽聲急，
Mai hoa lạc tận Giang Nam xuân.,梅花落盡江南春。
"Mai hoa dĩ hiết phục tam lộng,",梅花已歇復三弄，
Ly nhân thính chi sầu nhập mộng.,離人聽之愁入夢。
"Thính chi thế lệ thuỳ tối đa,",聽之涕淚誰最多，
Lĩnh Nam cuồng khách thành bàng đà.,嶺南狂客成滂沱。
