vi,ch
"Há mã Đồng nhai nhật dĩ tà,",下馬銅街日已斜，
Bắc phong y mệ mãn trần sa.,北風衣袂滿塵沙。
"Thu quang khước tại nhàn môn hạng,",秋光卻在閒門巷，
Thâm toả vong ưu nhất thụ hoa.,深鎖忘憂一樹花。
"Khước lập tây phong vũ thuý nhân,",卻立西風舞翠茵，
Nhất chi chi tự phất lương trần.,一枝枝似拂梁塵。
"Hán cung tối đố đồ hoàng ngạch,",漢宮最妒塗黄額，
Mạc khiển Sương Nga kiến lệ nhân.,莫遣霜娥見麗人。
"Trùng cửu hoa khai dĩ tự trì,",重九花開已自遲，
Tuyết trung do diểu tối phồn chi.,雪中猶裊最繁枝。
"Kim môn bạch thủ bi từ khách,",金門白首悲詞客，
Tự nhĩ phiêu linh quá tuế thì.,似爾飄零過歲時。
