vi,ch
"Khách hữu phương thiên khê, chu vạn hác. Thuấn Kỳ Phong, võ Triền Lạc. Lịch Nghiêm lại nhi tả toàn, chỉ Bàn Khê nhi kính bạc. Nga yên thụ chi vi mang, đạm phong vân chi mãng mạc. Kiển trung tâm hề dao dao, niệm giai hứng hề di ngạc. Hốt sương nhiêm chi lão tẩu, xanh vi hàng nhi dao độ.",客有方千溪，舟萬壑。舜岐豐，武瀍洛。礫嚴瀨而左旋，指磻溪而徑泊。睋煙樹之微茫，澹風雲之莽漠。褰中心兮搖搖，念佳興兮貽愕。忽霜髯之老叟，撐葦航而遙渡。
"Khách xu nhi vấn chi, tẩu viết: Tử bất văn Thái Công chi điếu hoàng giả hồ? Đương kỳ ngược diễm phương xí, Thương thất như huỷ, Bách xuyên phất đằng, Chu đạo như chỉ. Công tỵ đạo nhi khứ chiên, viên vu tư hề lệ chỉ. Thác dĩ điếu nhi ẩn chi, khương cao thượng kỳ tâm chí. Thìn kỳ tình không liễm diễm, biệt phố sâm si, hàn ba luyện nhược, khê thuỷ liên y; niểu trúc can chi địch địch, tản hương nhĩ chi phi phi. Hoặc yển hoặc lý, du dương hồ hạnh tảo chi thượng, hoặc chiên hoặc vị, dương ngữ hồ chiểu chỉ chi my; nhậm bỉ sở thích, phỉ ngã thị kỳ.",客趨而問之，叟曰：子不聞太公之釣璜者乎？當其虐焰方熾，商室如燬，百川沸騰，周道如砥。公避道而去旃，爰于茲兮戾止。托以釣而隱之，姜高尚其心志。辰其晴空瀲灩，別浦參差，寒波練若，溪水漣漪；裊竹竿之籊籊，散香餌之菲菲。或鰋或鯉，遊揚乎荇藻之上；或鱣或鮪，洋圉乎沼沚之湄。任彼所適，匪我是期。
"Thúc hữu hoàng chi hề tự, phân ngã điếu nhi ngộ chi. Tưởng hoàng thiên chi tích thuỵ, khỉ xuyên cơ chi hiệu kỳ. Trạng loại bán bích, vô hà vô tỳ. Phỉ thông phỉ tuy, phỉ châu phỉ ky, như khuê như chương, như tông như ly. Kỳ cương nghị dã khả dĩ tỷ công chi dũng liệt, kỳ kiên ngạnh dã khả dĩ giảo công chi thọ kỳ, kỳ chẩn lật dã khả dĩ bễ công chi tiết tháo, kỳ ôn nhuận dã khả dĩ thị công chi dung nghi, kỳ thuỵ quang dã khả dĩ giảo công tá vương chi tượng, kỳ thương sắc dã khả dĩ biểu Chu gia thụ mệnh chi ky. Khởi phi thiên giáng quyết tường dĩ chương quân thần chi đức ư đương thời hồ?",倏有璜之奚自，紛我釣而遇之。想皇天之錫瑞，豈川姬之效奇。狀類半壁，無瑕無疵。匪璁匪雖，匪珠匪璣，如珪如璋，如琮如璃。其剛毅也可以比公之勇烈，其堅硬也可以較公之壽耆，其縝栗也可以媲公之節操，其溫潤也可以視公之容儀，其瑞光也可以較公佐王之象，其蒼色也可以表周家受命之基。豈非天降厥祥以章君臣之德於當時乎？
"Chí nhược Tây Bá xuất liệp ư bỉ chi cương, thức kỳ hiền triết, đồng tải dĩ trang, suy Thượng phủ dĩ mệnh danh, cầu thị ngã ư chu hàng. Duy lương bỉ chi vũ thần, viết ngã Chu chi thị đương. Nãi đồng tâm nhi hiệp đức, cung thiên phạt nhi túc tương, chí tiền đồ chi đảo qua, lượng nhất phạt nhi khắc Thương. Viên sùng đức nhi báo công, tỷ Chu tộ chi ích xương. Y! thiên mệnh chi như thử, khỉ phi thiên tích ngọc hoàng nhi thị quyết tường giả hồ?",至若西伯出獵於彼之疆，識其賢哲，同載以裝，推上父以命名，求示我於周行。唯涼彼之武臣，曰我周之是當。乃同心而協德，恭天伐而肅將，至前徒之倒戈，諒一伐而克商。爰崇德而報功，俾周祚之益昌。噫！天命之如此，豈非天錫玉璜而示厥祥者乎？
"Khách nan chi viết: tẩu chi ngôn vu hỹ, hà lục kinh vô nhất tự chi ký, tiên triết tuyệt bán ngữ chi từ?",客難之曰：叟之言蕪矣，何六經無一字之記，先哲絕半語之詞？
"Tẩu ngữ chi viết: tử đồ đạm văn, vị thường hải thị. Bất hữu kỳ tường, thục minh chí lý? Hà xuất long mã, dĩ hiệu Hy thị hữu đức chi trưng, thiên tích Huyền Khuê dĩ biểu Đại Vũ bình thành chi trị, khởi bất thị dĩ minh trưng nhi biểu kỳ gia thuỵ giả hồ?",叟語之曰：子徒窞聞，未常海視。不有奇祥，孰明至理？河出龍馬以效羲氏有德之徵，天錫玄圭以表大禹平成之治，豈不示以明徵而表其嘉瑞者乎？
"Tẩu ngôn dĩ, cổ duệ nhi thệ.",叟言已，鼓枻而逝。
"Khách nhược hữu thất, thiểu nhiên trường vị. Nãi ca viết:",客若有失，愀然長喟。乃歌曰：
"Bàn Khê chi thuỷ, thanh thả liên y!",磻溪之水，清且漣漪！
"Điếu hoàng chi sự, kim kỳ dĩ phi,",釣璜之事，今其已非，
"Thái Công phương hình hề, thiên cổ như ty.",太公芳型兮，千古如斯。
