vi,ch
"Phóng quan Bạng cáp chi phù sa,",放觀蚌蛤之浮沙，
Nhất đới triền khiên đáo hải ba.,一帶纏牽到海波。
"Bắc tự Ông Phùng chi giang thuỷ,",北自翁馮之江水，
Nam liên Mộ Dạ chi nham a.,南聯暮夜之岩阿。
"Tằng tằng loa xác thành đôi điệp,",層層螺殼成堆疊，
Niên đại bất tri dĩ kỷ hà.,年代不知已幾何。
Y!,噫！
"Mang mang vũ trụ vô chung cùng,",茫茫宇宙無終窮，
Miểu miểu càn khôn đa biến thái.,渺渺乾坤多變態。
"Như kim hải ký biến vi sa,",如今海既變為沙，
An tri sa bất biến vi hải.,安知沙不變為海。
"Tang thương thế cục hồn như tư,",桑滄世局渾如斯，
Duy hữu chính khí trường bất cải.,惟有正氣長不改。
