vi,ch
"Thôn manh chung tuế bất nhập thành,",村甿終歲不入城，
Nhập thành phạ phùng huyện lệnh hành.,入城怕逢縣令行。
"Hành phùng huyện lệnh thượng do khả,",行逢縣令尚猶可，
Mạc kiến đương nha cứ án toạ.,莫見當衙据案坐。
"Đãn văn toạ xứ dĩ kinh hồn,",但聞坐處已驚魂，
Hà sự huyên oanh lai hướng thôn.,何事喧轟來向村。
"Lang đang sửu giới tòng thanh cái,",鋃鐺杻械從青蓋，
Lang cố hồ hào bố sát nhân.,狼顧狐嗥怖殺人。
"Tiên si bảng lược thảm bất chỉ,",鞭笞榜掠慘不止，
Lão ấu gia gia huyết tương thị.,老幼家家血相視。
"Quan tư kế tận sinh lộ vô,",官私計盡生路無，
Bất như khước tựu thành trung tử.,不如卻就城中死。
"Nhất hô vạn ứng tề huy quyền,",一呼萬應齊揮拳，
Tư lệ bôn tán như phi yên.,胥隸奔散如飛煙。
Khả lân huyện lệnh soán hà xứ?,可憐縣令竄何處？
Nhãn vọng cao thành bất cảm tiền.,眼望高城不敢前。
"Thành trung đại quan lâm quảng đường,",城中大官臨廣堂，
Pha tri huyện lệnh xuất chẩn hoang.,頗知縣令出賑荒。
"Môn ngoại manh thanh hốt đỉnh phất,",門外甿聲忽鼎沸，
Cấp truyền ôn ngữ vô trương hoàng.,急傳溫語無張皇。
"Thành trung tửu nùng bác thác hảo,",城中酒濃餺飥好，
Nhân nhân cấp tiền mãi tuý bão.,人人給錢買醉飽。
"Tuý bão tranh xu huyện lệnh nha,",醉飽爭趨縣令衙，
Triệt phi huỷ các như phong tảo.,撤扉毀閣如風掃。
"Huyện lệnh thâm tiêu bồ bặc quy,",縣令深宵匍匐歸，
Nô nhan tù thủ tiêu hung uy.,奴顏囚首銷凶威。
"Cật triêu manh khứ thành trung định,",詰朝甿去城中定，
Đại quan tư ta cố huyện lệnh.,大官咨嗟顧縣令。
