vi,ch
"Cổ Công Đản Phủ,",古公亶甫，
Tích đức thuỳ nhân.,積德垂仁。
"Tư hoằng nhất đạo,",思弘一道，
Triết vương ư Bân.,哲王於豳。
"Thái Bá, Trọng Ung,",太伯仲雍，
Vương đức chi nhân.,王德之仁。
"Hành thi bách thế,",行施百世，
Đoạn phát văn thân.,斷髪文身。
"Bá Di, Thúc Tề,",伯夷叔齊，
Cổ chi di hiền.,古之遺賢。
"Nhượng quốc bất dụng,",讓國不用，
Ngạ tồ Thú sơn.,餓殂首山。
"Trí tai Sơn Phủ,",智哉山甫，
Tướng bỉ Tuyên Vương.,相彼宣王。
"Hà dụng Đỗ Bá,",何用杜伯，
Luỵ ngã thánh hiền.,累我聖賢。
"Tề Hoàn chi bá,",齊桓之霸，
Lại đắc Trọng Phụ.,賴得仲父。
"Hậu nhậm Thụ Điêu,",後任豎刁，
Trùng lưu xuất hộ.,蟲流出戶。
"Án Tử Bình Trọng,",晏子平仲，
Tích đức kiêm nhân.,積德兼仁。
"Dữ thế trầm đức,",與世沈德，
Vị tất tư mệnh.,未必思命。
"Trọng Ni chi thế,",仲尼之世，
Chủ quốc vi quân.,主國為君。
"Tuỳ chế ẩm tửu,",隨制飲酒，
Dương ba sử quan.,揚波使官。
