vi,ch
"Thánh nhân xử sự viễn đại tai,",圣人處事遠大哉，
Nhĩ mục tầm thường sở nan thức.,耳目尋常所難識。
"Thuận thế trúc đê hạn Bắc Nam,",順势築堤限北南，
Hoành trường nhất đái như thằng trực.,橫長一帶如绳直。
"Trung gian thiết đậu biệt cam hàm,",中間設竇別甘鹹，
"Súc tiết thu khai, hạ bế tắc.",畜泄秋開夏閉塞。
"Thượng du tòng thử lợi nông công,",上游從此利農功，
Tuế lũ phong nhương nhân lạp thực.,歲屡豐穰人粒食。
"Miện hoài du dự thị niên niên,",眄懷遊豫是年年，
Tỉnh tỉnh canh thời điếu dặc thiên.,省省耕辰釣弋天。
"Du du hề hải uông uông thuỷ,",悠悠兮海汪汪水，
Trường sử đổ hà tư đế đức.,長使覩河思帝德。
