vi,ch
"Yên diểu diểu, bích ba viễn,",煙渺渺，碧波遠，
"Bạch lộ hy, thuý toa vãn.",白露晞，翠莎晚。
"Phiếm lục y, kiêm hà thiển,",泛綠漪，蒹葭淺，
Phố phong xuy mạo hàn phát đoản.,浦風吹帽寒髮短。
"Mỹ nhân lập, giang trung lưu,",美人立，江中流，
Mộ vũ phàm tường giang thượng chu.,暮雨帆檣江上舟。
"Tịch dương liêm lung giang thượng lâu,",夕陽帘櫳江上樓，
Chu trung thái liên hồng ngẫu hương.,舟中採蓮紅藕香。
"Lâu tiền đạp thuý phương thảo sầu,",樓前踏翠芳草愁，
"Phương thảo sầu, tây phong khởi.",芳草愁西風起。
"Phù dung hoa, lạc thu thuỷ,",芙蓉花落秋水，
"Ngư sơ phì, tửu chính mỹ.",魚初肥酒正美。
"Giang bạch như luyện, nguyệt như tẩy,",江白如練月如洗，
Tuý hạ yên ba thiên vạn lý.,醉下煙波千萬里。
