vi,ch
"Tam nguyệt thập nhật xuân mông mông,",三月十日春濛濛，
Mãn giang hoa vũ thấp đông phong.,滿江花雨濕東風。
"Mỹ nhân doanh doanh yên vũ lý,",美人盈盈煙雨里，
Xướng triệt hồ yên dữ hồ thuỷ.,唱徹湖煙與湖水。
"Thuỷ thiên hồng nữ hốt đương môn,",水天虹女忽當門，
Ngọ quang xuyên lậu hải hà quần.,午光穿漏海霞裙。
"Mỹ nhân lăng không nhiếp phi bộ,",美人凌空躡飛步，
Bộ thướng sơn đầu Tiểu Chân mộ.,步上山頭小真墓。
"Hoa Dương lão tiên hải thượng lai,",華陽老仙海上來，
Ngũ Hồ thổ nạp chưởng trung bôi.,五湖吐納掌中杯。
"Bảo sơn khô thiền khai mính uyển,",寶山枯禪開茗碗，
Mộc kình hống bãi thôi hoa bản.,木鯨吼罷催花板。
"Lão tiên tuý bút thạch lan tây,",老仙醉筆石欄西，
Nhất phiến phi hoa lạc phấn đề.,一片飛花落粉題。
"Bồng Lai cung trung hoa báo sứ,",蓬萊宮中花報使，
Hoa tín minh triêu nhị thập tứ.,花信明朝二十四。
"Lão tiên cánh thí Thục ma tiên,",老仙更試蜀痲牋，
Tả tận xuân sầu Tử Dạ thiên.,寫盡春愁子夜篇。
