vi,ch
"Trứ xứ phồn hoa vụ thị nhật,",著處繁花務是日，
Trường Sa thiên nhân vạn nhân xuất.,長沙千人萬人出。
"Độ đầu thuý liễu diễm minh my,",渡頭翠柳豔明眉，
Tranh đạo chu đề kiêu niết tất.,爭道朱蹄驕齧膝。
"Thử đô hảo du Tương Tây tự,",此都好遊湘西寺，
Chư tướng diệc tự quân trung chí.,諸將亦自軍中至。
"Mã Viện chinh hành tại nhãn tiền,",馬援征行在眼前，
Cát Cường thân cận đồng tâm sự.,葛強親近同心事。
"Kim đặng hạ sơn hồng phấn vãn,",金鐙下山紅粉晚，
Nha tường liệt đà thanh lâu viễn.,牙檣捩柁青樓遠。
"Cổ thì táng loạn giai khả tri,",古時喪亂皆可知，
Nhân thế bi hoan tạm tương khiển.,人世悲歡暫相遣。
"Đệ điệt tuy tồn bất đắc thư,",弟侄雖存不得書，
Can qua vị tức khổ ly cư.,干戈未息苦離居。
"Phùng nghinh thiếu tráng phi ngô đạo,",逢迎少壯非吾道，
Huống nãi kim triêu cánh phất trừ.,況乃今朝更祓除。
