vi,ch
"Dư Hàng ấp khách đa ky bần,",餘杭邑客多羈貧，
Kỳ gian thậm giả Tiêu dữ Ân.,其間甚者蕭與殷。
"Thiên hàn thân thượng do y cát,",天寒身上猶衣葛，
Nhật cao tắng trung vị phất trần.,日高甑中未拂塵。
"Giang Thành sơn tự thập nhất nguyệt,",江城山寺十一月，
Bắc phong xuy sa tuyết phân phân.,北風吹沙雪紛紛。
"Tân khách bất kiến đề bào huệ,",賓客不見綈袍惠，
Lê thứ vị triêm nhu khố ân.,黎庶未沾襦褲恩。
"Thử thì thái thú tự tàm quý,",此時太守自慚愧，
Trùng y phức khâm hữu dư ôn.,重衣複衾有餘溫。
"Nhân mệnh nhiễm nhân dữ châm nữ,",因命染人與針女，
Tiên chế lưỡng cừu tặng nhị quân.,先制兩裘贈二君。
"Ngô miên tế nhuyễn quế bố mật,",吳綿細軟桂布密，
Nhu như hồ dịch bạch tự vân.,柔如狐腋白似雲。
"Lao tương thi thư đầu tặng ngã,",勞將詩書投贈我，
Như thử tiểu huệ hà túc luận.,如此小惠何足論。
"Ngã hữu đại cừu quân vị kiến,",我有大裘君未見，
Khoan quảng hoà noãn như dương xuân.,寬廣和暖如陽春。
"Thử cừu phi tăng diệc phi khoáng,",此裘非繒亦非纊，
Tài dĩ pháp độ nhứ dĩ nhân.,裁以法度絮以仁。
"Đao xích độn chuyết chế vị tất,",刀尺鈍拙制未畢，
Xuất diệc bất độc khoả nhất thân.,出亦不獨裹一身。
"Nhược linh tại quận đắc ngũ khảo,",若令在郡得五考，
Dữ quân triển phúc Hàng Châu nhân.,與君展覆杭州人。
