vi,ch
"Nhân sinh bách nghệ,",人生百藝，
Văn học vi tiên.,文學為先。
"Nho sĩ thị trân,",儒士是珍，
Thi thư thị bảo.,詩書是寶。
"Cổ giả thánh hiền,",古者聖賢，
Dịch tử nhi giáo.,易子而教。
"Đức hạnh thuần hoà,",德行純和，
Trạch vi sư hữu.,擇為師友。
"Dưỡng nhi bất giáo,",養而不教，
Nãi phụ chi quá.,乃父之過。
"Giáo nhi bất nghiêm,",教而不嚴，
Nãi sư chi noạ.,乃師之惰。
"Học vấn bất cần,",學問不勤，
Nãi tử chi ác.,乃子之惡。
"Hậu tòng tiên giác,",後從先覺，
Giám cổ tri kim.,鑑古知今。
"Học hữu tam tâm,",學有三心，
Bất khả thất nhất.,不可失一。
"Phụ mẫu hậu thật,",父母厚實，
Tử học cần mẫn.,子學勤敏。
"Nghiêm sư tác thành,",嚴師作成，
Nhân hữu tam tình.,人有三情。
"Khả sự như nhất,",可事如一，
Phi phụ bất sinh.,非父不生。
"Phi quân bất vinh,",非君不榮，
Phi sư bất thành.,非師不成。
"Hữu đạo đức giả,",有道德者，
Tử tôn thông minh.,子孫聰明。
"Vô đạo đức giả,",無道德者，
Tử tôn ngu muội.,子孫愚昧。
"Dưỡng nam bất giáo,",養男不教，
Bất như dưỡng lư.,不如養驢。
"Dưỡng nữ bất giáo,",養女不教，
Bất như dưỡng trư.,不如養豬。
"Huấn đạo chi sơ,",訓導之初，
Tiên thủ lễ pháp.,先守禮法。
"Bất tri vấn đáp,",不知問答，
Thị vi ngu si.,是為愚癡。
"Bất giáo nhi thiện,",不教而善，
Phi Thánh nhi hà.,非聖而何。
"Giáo nhi hậu thiện,",教而後善，
Phi Hiền nhi hà.,非賢而何。
"Giáo diệc bất thiện,",教亦不善，
Phi ngu nhi hà.,非愚而何。
"Khốn nhi tri chi,",困而知之，
Phi trí nhi hà.,非智而何。
"Hữu điền bất canh,",有田不耕，
Thương lẫm không hư.,倉廩空虛。
"Hữu thư bất giáo,",有書不教，
Tử tôn ngoan ngu.,子孫頑愚。
"Thương lẫm không hề,",倉廩空兮，
Tuế thời phạp thực.,歲時乏食。
"Tử tôn ngu hề,",子孫愚兮，
Lễ nghĩa toàn vô.,禮義全無。
"Phàm nhân bất học,",凡人不學，
Minh như dạ hành.,冥如夜行。
