vi,cn
"Trùng môn tệ xuân tịch,",重門敝春夕，
Đăng chúc ái dư huy.,燈燭靄余煇。
"Tuý ngã bách tôn tửu,",醉我百尊酒，
Lưu liên dạ vị quy.,留連夜未歸。
"Trường Thành ẩm mã quật,",長城飲馬窟，
Ẩm mã mã hoàn kinh.,飲馬馬還驚。
"Ninh tri ô yết thuỷ,",寧知嗚咽水，
Do tác bảo đao minh.,猶作寶刀鳴。
"Kim nhật hoa tiền ẩm,",今日花前飲，
Cam tâm tuý sổ bôi.,甘心醉數杯。
Đãn sầu hoa hữu ngữ:,但愁花有語，
Bất vị lão nhân khai.,不為老人開。
"Ủng bị nghễ thuyền song,",擁被睨船窗，
Hành khách trùng hiểu phát.,行客重曉發。
"Giang biên tửu điếm ông,",江邊酒店翁，
Hàn tảo môn tiền tuyết.,寒掃門前雪。
"Tà nhật ỷ lâm chuyển,",斜日倚林轉，
Du vân cộng điểu hoàn.,遊雲共鳥還。
"Đông phong xuy thái cấp,",東風吹太急，
Lôi vũ bất ly san.,雷雨不離山。
"Lưu tô kết hợp hoan,",流蘇結合歡，
Tú bị song uyên ương.,繡被雙鴛鴦。
"Lang khứ hoàn hà nhật,",郎去還何日，
Thâm khuê dạ tự trường.,深閨夜自長。
"Xuất môn tống lang khứ,",出門送郎去，
Lang tâm bất khả trú.,郎心不可住。
"Nam bắc dị tiêu hồn,",南北易銷魂，
Độc ỷ tương tư thụ.,獨倚相思樹。
"Cổ khách bất tri sầu,",估客不知愁，
Đãn tuý tửu gia lâu.,但醉酒家樓。
"Nông tâm Lũng hạ thuỷ,",儂心隴下水，
Bi yết hà thời hưu.,悲咽何時休。
"Ấu nữ tài lục tuế,",幼女才六歲，
Vị tri xảo dữ chuyết.,未知巧與拙。
"Hướng dạ tại đường tiền,",向夜在堂前，
Học nhân bái tân nguyệt.,學人拜新月。
"Trường dạ bạch đầu ngâm,",長夜白頭吟，
Tân ty lý cố cầm.,新絲理故琴。
"Mạc tương nhất nhật ý,",莫將一日意，
Ngộ kết bách niên tâm.,誤結百年心。
"Bạch lộ há thu thuỷ,",白鷺下秋水，
Cô phi như truỵ sương.,孤飛如墜霜。
"Tâm nhàn thả vị khứ,",心閑且未去，
Độc lập sa châu bàng.,獨立沙洲旁。
"Bạch mã tử liên tiền,",白馬紫連錢，
Tê minh đơn khuyết tiền.,嘶鳴丹闕前。
"Văn kha tự điệp tiệp,",聞珂自蹀躞，
Bất yếu há kim tiên.,不要下金鞭。
"Thanh thiển bạch thạch than,",清淺白石灘，
Lục bồ hướng kham bả.,綠蒲向堪把。
"Gia trú thuỷ đông tây,",家住水東西，
Hoán sa minh nguyệt hạ.,浣紗明月下。
"Kỳ thạch phục lâm thuỷ,",跂石復臨水，
Lộng ba tình vị cực.,弄波情未極。
"Nhật há xuyên thượng hàn,",日下川上寒，
Phù vân đạm vô sắc.,浮雲澹無色。
"Thiếu niên đa hảo sự,",少年多好事，
Lãm bí hướng Tây Đô.,攬轡向西都。
"Tương phùng hiệp tà lộ,",相逢狹斜路，
Trú mã nghệ đương lô.,駐馬詣當壚。
"Giang sơn như hoạ xuất,",江山如畫出，
Nham chướng tự bình khai.,巖嶂似屛開。
"Tằng hướng tiên sư khẩu,",曾向先師口，
Kỷ kinh thôn thổ lai.,幾經呑吐來。
"Tố diện ỷ lan câu,",素面倚欄鉤，
Kiều thanh xuất ngoại đầu.,嬌聲出外頭。
"Nhược phi thị Chức Nữ,",若非是織女，
Hà đắc vấn Khiên Ngưu?,何得問牽牛。
"Bắc xá hồ thuỷ bắc,",北垞湖水北，
Tạp thụ ánh chu lan.,雜樹映朱闌。
