vi,ch
"Tướng quân tích trước tòng sự sam,",將軍昔著從事衫，
Thiết mã trì đột trọng lưỡng hàm.,鐵馬馳突重兩銜。
"Phi kiên chấp nhuệ lược Tây Cực,",披堅執銳略西極，
Côn Lôn nguyệt quật đông tiệm nham.,崑崙月窟東嶄巖。
"Quân môn vũ lâm vạn mãnh sĩ,",君門羽林萬猛士，
Ác nhược hao hổ tử sở giam.,惡若哮虎子所監。
"Ngũ niên khởi gia liệt sương kích,",五年起家列霜戟，
Nhất nhật quá hải thâu phong phàm.,一日過海收風帆。
"Bình sinh lưu bối đồ xuẩn xuẩn,",平生流輩徒蠢蠢，
Trường An thiếu niên khí dục tận.,長安少年氣欲盡。
"Nguỵ hầu cốt tủng tinh sảng khẩn,",魏侯骨聳精爽緊，
Hoa nhạc phong tiêm kiến thu chuẩn.,華岳峰尖見秋隼。
"Tinh triền bảo hiệu kim bàn đà,",星躔寶校金盤陀，
Dạ kỵ thiên tứ siêu thiên hà.,夜騎天駟超天河。
"Sàm thương huỳnh hoặc bất cảm động,",欃槍熒惑不敢動，
Thuý nhuy vân sao tương đãng ma.,翠蕤雲旓相蕩摩。
"Ngô vi tử khởi ca đô hộ,",吾為子起歌都護，
Tửu lan tháp kiếm can đảm lộ.,酒闌插劍肝膽露。
"Câu Trần thương thương phong Huyền Vũ,",鉤陳蒼蒼風玄武，
"Vạn tuế thiên thu phụng minh chủ,",萬歲千秋奉明主，
Lâm giang tiết sĩ an túc số.,臨江節士安足數。
