vi,ch
"Chử hải chi dân hà sở dinh,",煮海之民何所營，
Phụ vô tàm chức phu vô canh.,婦無蠶織夫無耕。
"Y thực chi nguyên thái liêu lạc,",衣食之源太寥落，
Lao bồn chử tựu nhữ luân chinh.,牢盆煮就汝輪征。
"Niên niên xuân hạ triều doanh phố,",年年春夏潮盈浦，
Triều thoái quát nê thành đảo tự.,潮退刮泥成島嶼。
"Phong can nhật bộc hàm vị gia,",風乾日曝咸味加，
Thuỷ quán triều ba lựu thành lỗ.,始灌潮波塯成滷。
"Lỗ nùng kiềm đạm vị đắc nhàn,",滷濃堿淡未得閑，
Thái tiều thâm nhập vô cùng sơn.,採樵深入無窮山。
"Báo tung hổ tích bất cảm tỵ,",豹蹤虎跡不敢避，
Triêu dương sơn khứ tịch dương hoàn.,朝陽山去夕陽還。
"Thuyền tải kiên kình vị hoàng yết,",船載肩擎未遑歇，
Đầu nhập cự táo viêm viêm nhiệt.,投入巨灶炎炎熱。
"Thần thiêu mộ thước đồi tích cao,",晨燒暮爍堆積高，
Tài đắc ba đào biến thành tuyết.,才得波濤變成雪。
"Tự tòng chư lỗ chí phi sương,",自從瀦滷至飛霜，
Vô phi giá thải sung hầu lương.,無非假貸充餱糧。
"Xưng nhập quan trung đắc vi trực,",稱入官中得微直，
Nhất mân vãng vãng thập mân thường.,一緡往往十緡償。
"Chu nhi phục thuỷ vô hưu tức,",周而復始無休息，
Quan tô vị liễu tư tô bức.,官租未了私租逼。
"Khu thê trục tử khoá công trình,",驅妻逐子課工程，
Tuy tác nhân hình câu thái sắc.,雖作人形俱菜色。
"Chúc hải chi dân hà khổ môn,",鬻海之民何苦門，
An đắc mẫu phú tử bất bần.,安得母富子不貧。
"Bản triều nhất vật bất thất sở,",本朝一物不失所，
Nguyện quảng hoàng nhân đáo hải tân.,愿廣皇仁到海濱。
"Giáp binh tịnh tẩy chinh luân chuyết,",甲兵淨洗征輪輟，
Quân hữu dư tài bãi diêm thiết.,君有餘財罷鹽鐵。
"Thái bình tương nghiệp nhĩ duy diêm,",太平相業爾惟鹽，
Hoá tác Hạ Thương Chu thời tiết.,化作夏商周時節。
