vi,ch
"Thư sinh kỷ đắc diện quân vương,",書生幾得面君王，
Quí ngã viễn lai thiên cận quang.,愧我遠來偏近光。
"Trì hạ xu thương trần hạ biểu,",墀下趍蹌陳賀表，
Ngự tiền huy sái hoạ thần chương.,御前揮洒和宸章。
"Ân luân kinh tiếp long văn bút,",恩綸驚接龍文筆，
Triều tụ hân triêm thú đỉnh hương.,朝袖欣沾獸鼎香。
"Công dịch qui lai thanh bất mị,",公驛歸來清不寐，
Mãn song phong nguyệt hựu tương tương.,滿窻風月又相將。
"Khâm thừa tứ cận phượng thư tuyên,",欽承賜覲鳳書宣，
Thần tịch trì khu lộ thập thiên.,晨夕馳驅路十千。
"Hải bất ba thời tri hữu thánh,",海不波辰知有聖，
Sơn tòng thê hậu hỉ chiêm thiên.,山從梯後喜瞻天。
"Thuý hoa nhật noãn nùng xuân sắc,",翠花日煖濃春色，
Ngự đỉnh hương phù ái thuỵ yên.,御鼎香浮靄瑞煙。
"Ca yến thị bồi vô biệt tụng,",歌宴侍陪無別頌，
Nguyện canh Chu Nhã Cửu Như thiên.,願賡周雅九如篇。
