vi,ch
"Mẫu biệt tử, tử biệt mẫu,",母別子，子別母，
Bạch nhật vô quang khốc thanh khổ.,白日無光哭聲苦。
"Quan Tây phiêu kỵ đại tướng quân,",關西驃騎大將軍，
Khứ niên phá lỗ tân sách huân.,去年破虜新策勳。
"Sắc tứ kim tiền nhị bách vạn,",敕賜金錢二百萬，
Lạc Dương nghinh đắc như hoa nhân.,洛陽迎得如花人。
"Tân nhân nghinh lai cựu nhân khí,",新人迎來舊人棄，
Chưởng thượng liên hoa nhãn trung thích.,掌上蓮花眼中刺。
"Sủng tân khí cựu vị túc bi,",寵新棄舊未足悲，
Bi tại quân gia lưu lưỡng nhi.,悲在君家留兩兒。
"Nhất thuỷ phù sàng nhất sơ toạ,",一始扶床一初坐，
Toạ đề hành khốc khiên nhân y.,坐啼行哭牽人衣。
"Dĩ nhữ phu phụ tân yến uyển,",以汝夫婦新嬿婉，
Sử ngã mẫu tử sinh biệt ly.,使我母子生別離。
"Bất như lâm trung ô dữ thước,",不如林中烏與鵲，
Mẫu bất thất sồ hùng bạn thư.,母不失雛雄伴雌。
"Ưng tự hậu viên đào lý thụ,",應似後園桃李樹，
Hoa lạc tuỳ phong tử tại chi.,花落隨風子在枝。
"Tân nhân tân nhân thính ngã ngữ,",新人新人聽我語，
Lạc Dương vô hạn hồng lâu nữ.,洛陽無限紅樓女。
"Đãn nguyện tướng quân trọng lập công,",但願將軍重立功，
Cánh hữu tân nhân thắng ư nhữ.,更有新人勝於汝。
