vi,ch
"Thu phong nguyên đầu đồng diệp phi,",秋風原頭桐葉飛，
U hoàng thuý lãnh sơn quỷ đề.,幽篁翠冷山鬼啼。
"Hải đồ sách bổ nhi nữ y,",海圖拆補儿女衣，
Khinh sam tiếu chỉ Tần nhân khê.,輕衫笑指秦人溪。
"Tần nhân đắc tri Tấn dĩ tiền,",秦人得知晉以前，
Hàng Đường thần Tống thuỳ vi ngôn?,降唐臣宋誰為言？
"Hốt phùng đào hoa chiếu khê nguyên,",忽逢桃花照溪源，
Thỉnh quân đình cao mạc hồi thuyền.,請君停篙莫回船。
"Biên bồng tiện kết khê thượng trạch,",編蓬便結溪上宅，
Thái đào vi tân thực đào thực.,採桃為薪食桃實。
"Sơn lâm hoàng trần tam bách xích,",山林黃塵三百尺，
Bất dụng quy lai thuyết tiêu tức.,不用歸來說消息。
