vi,ch
"Đô môn tuế thủ trần bách kỹ,",都門歲首陳百技，
Ngư long quái thú hãn bất bị.,魚龍怪獸罕不備。
"Hà vật thị thượng du thủ nhi,",何物市上游手兒，
Dịch sử sơn quân tác nhi hý.,役使山君作兒戲。
"Sơ dư hổ khuyên lai quảng trường,",初舁虎圈來廣場，
Khuynh thành quan giả như đổ tường.,傾城觀者如堵墻。
"Tứ chu lập sách khiên hổ xuất,",四周立柵牽虎出，
Mao quyền nhĩ tập khí bất dương.,毛拳耳戢氣不揚。
"Tiên liệu hổ tu hổ do thiếp,",先撩虎須虎猶帖，
Dĩ bạng trác địa hổ nhân lập.,以棓卓地虎人立。
"Nhân hô hổ hống thanh như lôi,",人呼虎吼聲如雷，
Nha trảo tùng trung phấn thân nhập.,牙爪叢中奮身入。
"Hổ khẩu nha khai đại như đấu,",虎口呀開大如斗，
Nhân chuyển thung dung thám dĩ thủ.,人轉從容探以手。
"Cánh thoát đầu lô để hổ khẩu,",更脫頭顱抵虎口，
Dĩ đầu tự hổ hổ bất thụ.,以頭飼虎虎不受。
"Hổ thiệt thị nhân như thị cốc,",虎舌舐人如舐穀，
Hốt án hổ tích sất sử hành.,忽按虎脊叱使行。
"Hổ tiện thuân tuần nhiễu lan tẩu,",虎便逡巡繞闌走，
Phiên thân cứ địa xúc đống trần.,翻身踞地蹴凍塵。
"Hồn thân đẩu khai hoa cẩm nhân,",渾身抖開花錦茵，
Bàn hồi vũ thế học hồ toàn.,盤回舞勢學胡旋。
"Tự trương hổ uy thực mỵ nhân,",似張虎威實媚人，
Thiểu yên ngưỡng ngoạ nhược dương tử.,少焉仰臥若佯死。
"Đầu chi dĩ nhục hoắc nhiên khởi,",投之以肉霍然起，
Quan giả nhất tiếu tranh cự tiền.,觀者一笑爭醵錢。
"Nhân ký đắc tiền hổ dao vĩ,",人既得錢虎搖尾，
Nhưng khu nhập khuyên phụ dĩ xu.,仍驅入圈負以趨。
"Thử gian lạc diệc vong sơn cư,",此間樂亦忘山居，
Y nhân hổ nhiệm nhân di sử.,依人虎任人頤使。
"Bạn hổ nhân giai hổ thoá dư,",伴虎人皆虎唾餘，
Ngã quan thử trạng ý tiêu tự.,我觀此狀意消沮。
"Ta nhĩ ban nô diệc hà khổ,",嗟爾斑奴亦何苦！
Bất năng quyết phiền nhĩ bất trí.,不能決蹯爾不智。
"Bất năng phá hạm nhĩ bất vũ,",不能破檻爾不武，
Thử tào nhất sinh y thực nhữ.,此曹一生衣食汝。
"Bỉ khởi hữu lực như Trung Hoàng,",彼豈有力如中黄，
Phục tự Lương Ương năng hỷ nộ.,復似梁鴦能喜怒。
Nhữ đắc tàn xan cứu hề bổ?,汝得殘餐究奚補？
Trành quỷ tu nhan diệc cánh sinh.,倀鬼羞顏亦更生。
"Cựu sơn đồng bạn thảng tương phùng,",舊山同伴倘相逢，
Tiếu nhĩ hành tàng bất như thử.,笑爾行藏不如鼠。
