vi,ch
"Đăng pha đà chi trường bản hề,",登陂阤之長阪兮，
Bộn nhập tằng cung chi tha nga.,坌入曾宮之嵯峨。
"Lâm khúc giang chi kỳ châu hề,",臨曲江之隑州兮，
Vọng nam sơn chi sâm si.,望南山之參差。
"Nham nham thâm sơn chi hồng hồng hề,",巖巖深山之谾谾兮，
Thông cốc hoát hồ hàm ha.,通谷𧯆乎𧮰谺。
"Cốt hức hấp tập dĩ vĩnh thệ hề,",汩淢噏習以永逝兮，
Chú bình cao chi quảng diễn.,注平臯之廣衍。
"Quan chúng thụ chi ống ái hề,",觀眾樹之蓊薆兮，
Lãm trúc lâm chi trăn trăn.,覽竹林之榛榛。
"Đông trì thổ sơn hề,",東馳土山兮，
Bắc yết thạch lại.,北揭石瀨。
"Nhị tiết dung dữ hề,",弭節容與兮，
Lịch điếu Nhị Thế.,歷弔二世。
"Trì thân bất cẩn hề,",持身不謹兮，
Vong quốc thất thế.,亡國失埶。
"Tín sàm bất ngộ hề,",信讒不寤兮，
Tông miếu diệt tuyệt.,宗廟滅絕。
Ô hô ai tai!,嗚呼哀哉！
"Tháo hạnh chi bất đắc hề,",操行之不得兮，
"Mộ vu uế nhi bất tu hề,",墓蕪穢而不修兮，
Hồn vong quy nhi bất thực.,魂亡歸而不食。
"Quýnh mạc tuyệt nhi bất tề hề,",敻邈絕而不齊兮，
Di cửu viễn nhi dũ mại.,彌久遠而愈佅。
"Tinh võng lãng nhi phi dương hề,",精罔閬而飛揚兮，
Thập cửu thiên nhi vĩnh thệ.,拾九天而永逝。
Ô hô ai tai!,嗚呼哀哉！
