vi,ch
"Cửu thập xuân quang nhất trịch thoa,",九十春光一擲梭，
Hoa tiền chước tửu xướng cao ca.,花前酌酒唱高歌。
Chi thượng hoa khai năng kỷ nhật?,枝上花開能幾日，
Thế thượng nhân sinh năng kỷ hà?,世上人生能幾何。
"Tạc triêu hoa thắng kim triêu hảo,",昨朝花勝今朝好，
Kim triêu hoa lạc thành thu thảo.,今朝花落成秋草。
"Hoa tiền nhân thị khứ niên thân,",花前人是去年身，
Khứ niên nhân tỷ kim niên lão.,去年人比今年老。
"Kim nhật hoa khai hựu nhất chi,",今日花開又一枝，
Minh nhật lai khan tri thị thuỳ?,明日來看知是誰？
Minh niên kim nhật hoa khai phủ?,明年今日花開否？
Kim nhật minh niên thuỳ đắc tri?,今日明年誰得知。
"Thiên thời bất trắc đa phong vũ,",天時不測多風雨，
Nhân sự nan lường đa thư ngữ.,人事難量多齟齬。
"Thiên thời nhân sự lưỡng bất tề,",天時人事兩不齊，
Mạc bả xuân quang phó lưu thuỷ.,莫把春光付流水。
"Hảo hoa nan chủng bất trường khai,",好花難種不長開，
Thiếu niên dị lão bất trùng lai.,少年易老不重來。
"Nhân sinh bất hướng hoa tiền tuý,",人生不向花前醉，
Hoa tiếu nhân sinh giã thị ngai.,花笑人生也是呆。
