vi,ch
"Duy hoàng Đường chi lục diệp, thực Minh Hoàng chi sơ niên.",維皇唐之六葉，實明皇之初年。
"Thể cần kiệm chi mỹ đức, cung hữu ái chi tính thiên.",體勤儉之美德，躬友愛之性天。
"Ký xích viễn ư nữ sắc, diệc bính tuyệt ư du điền.",既斥遠於女色，亦屏絕於遊畋。
"Cấm cẩm tú nhi bất bửu, thị phác tố vi dân tiên.",禁錦繡而不寶，示樸素為民先。
"Bất dĩ vị vi dật lạc, niệm vương nghiệp chi gian nan.",不以位為逸樂，念王業之艱難。
"Tiêu y cán thực, nhậm sử năng hiền.",宵衣旰食，任使能賢。
"Thân lâm thứ chính, tổng lãm hoá quyền.",親臨庶政，總攬化權。
"Kỳ phối mỹ ư Đường Ngu chi tế, chủng trị công ư Văn hoàng chi gian.",其配美於唐虞之際，踵治功於文皇之間。
"Cần chính danh lâu, cái hữu do nhiên.",勤政名樓，蓋有由然。
"Tưởng kỳ: ly cung biệt quán, ẩn lâu thiền liên.",想其：離宮別館，隱樓蟬聯。
"Chư vương để đệ, la lạc liên diên.",諸王邸弟，羅絡連延。
"Hoa Ngạc tù tốt hề kỳ hữu, Hưng Khánh cùng sùng hề kỳ thiên.",華萼崷崒兮其右，興慶窮崇兮其偏。
"Hoa suy quế đống, chi nhi tảo biên.",花榱桂棟，芝栭藻櫋。
"Tuyền đề loát dao không chi vụ, điêu đống lăng tình hạo chi yên.",璇題刷瑤空之霧，雕棟凌晴昊之煙。
"Khoát càn khôn chi hạp tịch, thông Hy nga chi vãng hoàn.",豁乾坤之闔闢，通羲娥之往還。
"Tráng thần kinh chi vĩ vọng, tủng vũ nội chi quan chiêm.",壯神京之偉望，聳宇內之觀瞻。
"Đãi phù: ngọc lậu thanh tàn, kê nhân báo thự.",迨夫：玉漏聲殘，雞人報曙。
"Trĩ vĩ tà khai, vân cừu tiến ngự.",雉尾斜開，雲裘進御。
"Thanh tất nhất thanh, thiên quan ảnh phụ.",清畢一聲，千官影附。
"Hấp thiên hương hề phức uất, đạm vũ bảo hề dung dữ.",潝天香兮馥鬱，淡羽葆兮容與。
"Liễu tráo triêu yên, hoa hợp túc lộ.",柳罩朝煙，花合宿露。
"San ngọc bội hề tương tương, tân y quan hề sở sở.",珊玉佩兮將將，繽衣冠兮楚楚。
"Đế nãi ngự lâu, dĩ lâm thứ sự.",帝乃御樓，以臨庶事。
"Tướng tướng bách quan, đài viện sảnh thự.",將相百官，臺院省署。
"Chấn chấn uyên hàng, trật trật nhạn tự.",振振鴛行，秩秩雁字。
"Tiến ngôn dĩ chức, tấu sự dĩ thứ.",進言以職，奏事以次。
"Đế ư thị, đạt tứ thông minh tứ mục, thính hiến khả dữ thế phủ, đô du dữ hô phất.",帝於是，達四聰明四目，聽獻可與替否，都俞與呼咈。
Chính hữu vị hành hề tư hữu dĩ phát.,政有未行兮思有以發。
Đức hữu vị phu hề tư hữu dĩ hợp.,德有未敷兮思有以洽。
Hình hữu vị đáng hề tư hữu dĩ tuất.,形有未當兮思有以恤。
Dân hữu vị an hề tư hữu dĩ tập.,民有未安兮思有以輯。
Lợi hữu vị hưng hề tư hữu dĩ thí.,利有未興兮思有以施。
Hại hữu vị trừ hề tư hữu dĩ cách.,害有未除兮思有以革。
"Nghiệp nghiệp căng căng, vạn cơ nhất nhật.",業業兢兢，萬幾一日。
"Duy cơ duy khang, vô lạc vô dật.",惟幾惟康，無樂無逸。
Nhân trạch chu lưu hề bàng tiếp thứ vật.,仁澤周流兮旁浹庶物。
