vi,ch
"Ngư ông chu bạc đông hải biên,",漁翁舟泊東海邊，
Tiều phu gia trú tây sơn lý.,樵夫家住西山裡。
"Lưỡng nhân hoạt kế sơn thuỷ trung,",兩人活計山水中，
Đông tây lộ cách vạn thiên lý.,東西路隔萬千里。
"Hốt nhiên nhất nhật lai tương phùng,",忽然一日來相逢，
Mãn đầu đoản phát giai bồng tùng.,滿頭短髮皆蓬鬆。
"Bàn hoàn toạ đáo nhật chước ngọ,",盤桓坐到日灼午，
Hỗ tương thoại thuyết tình hà nùng.,互相話說情何濃。
"Nhất vân thâm sơn hữu đại mộc,",一云深山有大木，
Trung hữu mãnh hổ ngật nhân nhục.,中有猛虎吃人肉。
"Bất như bình nguyên thái đoản tân,",不如平原採短薪，
Vô lự vô ưu cánh vô nhục.,無慮無憂更無辱。
"Nhất vân giang thuỷ hữu cự lân,",一云江水有巨鱗，
Thao thiên ba lãng kinh sát nhân.,滔天波浪驚剎人。
"Bất như lô hoa thuỷ thanh thiển,",不如蘆花水清淺，
Ba đào bất tác vô oán tâm.,波濤不作無怨心。
"Ngô kim dữ nhữ yếu tri chỉ,",吾今與汝要知止，
Phàm sự trung gian yếu cẩn thuỷ.,凡事中間要謹始。
"Sinh ý nghi tòng ổn xứ cầu,",生意宜從穩處求，
Mạc nhập cao sơn dữ thâm thuỷ.,莫入高山與深水。
