vi,ch
"Thuỳ gia lưỡng nô kỵ lưỡng thông,",誰家兩奴騎兩驄，
Thuỳ thị chủ nhân vân tính Tôn.,誰是主人云姓宗。
"Triêu lai mộ khứ giáp nhai thụ,",朝來暮去夾街樹，
Kinh qua yên vụ như du long.,經過煙霧如游龍。
"Vấn mã hà do đắc như thử,",問馬何由得如此，
Hoài An đại đậu thanh tuyền thuỷ.,淮安大豆清泉水。
"Hung phì lưỡng nhạc hoành nan ky,",胸腓兩岳橫難羈，
Vĩ tát viên cầu kiêu dục tử.,尾撒圓球驕欲死。
"Dương xuân tam nguyệt dương liễu phi,",陽春三月楊柳飛，
Kỵ giả hà nhân khán giả hy.,騎者何人看者稀。
"Mai hoa ngân đính cách đái phì,",梅花銀釘革帶肥，
Kinh thành cao mạo tế triệp y.,京城高帽細褶衣。
"Mã yếm hoạn dưỡng nhân hữu uy,",馬厭豢養人有威，
Xuất nhập cố phán sinh quang huy.,出入顧盼生光輝。
"Khứ niên phòng thu Cổ Bắc khẩu,",去年防秋古北口，
Kính phong xuy mã mã nghịch tẩu.,勁風吹馬馬逆走。
"Đối luỹ chung tiêu bất giải yên,",對壘終宵不解鞍，
Thực túc liên triêu bất doanh đẩu.,食粟連朝不盈斗。
"Tướng quân kiến lỗ bão lược quy,",將軍見虜飽掠歸，
Cứ yên tác thế hô tặc tẩu.,据鞍作勢呼賊走。
"Sĩ tốt cửu hỹ tri thử ý,",士卒久矣知此意，
Đả mã truy bôn cận đắc cấu.,打馬追奔僅得彀。
"Thiên hàn mã mao phúc vô thỉ,",天寒馬毛腹無矢，
Cơ trường hoắc hoắc minh sổ lý.,飢腸霍霍鳴數里。
"Bất tri thử xứ đạp hương nê,",不知此處踏香泥
Nhất lộ xuân phong toạ la ỷ.,一路春風坐羅綺
