vi,ch
"Đặng công mã phích nhân cộng tri,",鄧公馬癖人共知，
Sơ đắc hoa thông Đại Uyển chủng.,初得花驄大宛種。
"Túc tích truyền văn tư nhất kiến,",夙昔傳聞思一見，
Khiên lai tả hữu thần giai tủng.,牽來左右神皆竦。
"Hùng tư dật thái hà tù tuỵ,",雄姿逸態何崷崒，
Cố ảnh kiêu tê tự căng sủng.,顧影驕嘶自矜寵。
"Ngung mục thanh huỳnh giáp kính huyền,",隅目青熒夾鏡懸，
Nhục tuấn ôi lỗi liên tiền động.,肉駿碨礌連錢動。
"Triêu lai cửu thí hoa hiên hạ,",朝來久試華軒下，
Vị giác thiên kim mãn cao giá.,未覺千金滿高價。
"Xích hãn vi sinh bạch tuyết mao,",赤汗微生白雪毛，
Ngân an khước phúc hương la phạ.,銀鞍卻覆香羅帕。
"Khanh gia cựu tứ công thủ chi,",卿家舊賜公取之，
Thiên cứu chân long thử kỳ á.,天廄真龍此其亞。
"Trú tẩy tu đằng Kinh, Vị thâm,",晝洗須騰涇渭深，
"Triêu xu khả loát U, Tinh dạ.",朝趨可刷幽並夜。
"Ngô văn lương ký lão thuỷ thành,",吾聞良驥老始成，
Thử mã sổ niên nhân cánh kinh.,此馬數年人更驚。
"Khởi hữu tứ đề tật ư điểu,",豈有四蹄疾於鳥，
Bất dữ bát tuấn câu tiên minh.,不與八駿俱先鳴。
"Thì tục tạo thứ na đắc trí,",時俗造次那得致，
Vân vụ hối minh phương giáng tinh.,雲霧晦冥方降精。
"Cận văn hạ chiếu huyên đô ấp,",近聞下詔喧都邑，
Khẳng sử kỳ lân địa thượng hành.,肯使騏驎地上行。
