vi,ch
"Ngư châu trục thuỷ ái sơn xuân,",漁舟逐水愛山春，
Lưỡng ngạn đào hoa giáp cổ tân.,兩岸桃花夾古津。
"Toạ khán hồng thụ bất tri viễn,",坐看紅樹不知遠，
Hành tận thanh khê bất kiến nhân.,行盡青溪不見人。
"Sơn khẩu tiềm hành thuỷ ôi áo,",山口潛行始隈隩，
Sơn khai khoáng vọng toàn bình lục.,山開曠望旋平陸。
"Dao khan nhất xứ toản vân thụ,",遙看一處攢雲樹，
Cận nhập thiên gia tán hoa trúc.,近入千家散花竹。
"Tiều khách sơ truyền Hán tính danh,",樵客初傳漢姓名，
Cư nhân vị cải Tần y phục.,居人未改秦衣服。
"Cư nhân cộng trú Võ Lăng nguyên,",居人共住武陵源，
Hoàn tùng vật ngoại khởi điền viên.,還從物外起田園。
"Nguyệt minh tùng hạ phòng long tịnh,",月明松下房櫳靜，
Nhật xuất vân trung kê khuyển huyên.,日出雲中雞犬喧。
"Kinh văn tục khách tranh lai tập,",驚聞俗客爭來集，
Cạnh dẫn hoàn gia vấn đô ấp.,競引還家問都邑。
"Bình minh lư hạng tảo hoa khai,",平明閭巷掃花開，
Bạc mộ ngư tiều thừa thuỷ nhập.,薄暮漁樵乘水入。
"Sơ nhân tị địa khứ nhân gian,",初因避地去人間，
Cập chí thành tiên toại bất hoàn.,及至成仙遂不還。
"Giáp lý thuỳ tri hữu nhân sự,",峽裡誰知有人事，
Thế trung diêu vọng không vân sơn.,世中遙望空雲山。
"Bất nghi linh cảnh nan văn kiến,",不疑靈境難聞見，
Trần tâm vị tận tư hương huyện.,塵心未盡思鄉縣。
"Xuất động vô luận cách sơn thuỷ,",出洞無論隔山水，
Từ gia chung nghĩ trường du diễn.,辭家終擬長遊衍。
"Tự vị kinh quá cựu bất mê,",自謂經過舊不迷，
An tri phong hác kim lai biến.,安知峰壑今來變。
"Đương thời chỉ ký nhập sơn thâm,",當時只記入山深，
Thanh khê kỷ độ đáo vân lâm.,青溪幾度到雲林？
"Xuân lai biến thị Đào hoa thuỷ,",春來遍是桃花水，
Bất biện tiên nguyên hà xứ tầm?,不辨仙源何處尋？
