vi,ch
"Hồ già phách đoạn huyền băng kết,",胡笳拍斷玄冰結，
Tương linh khúc chung ban trúc liệt.,湘靈曲終斑竹裂。
"Vị quân cánh tấu Thục quốc huyền,",為君更奏蜀國弦，
Nhất đàn nhất thanh phi thướng thiên.,一彈一聲飛上天。
"Thục quốc chu tao ngũ thiên lý,",蜀國周遭五千里，
Nga My thiều thiều liên Ngọc Luỹ.,蛾眉岧岧連玉壘。
"Mân, Ba xuất thuỷ tác đại giang,",岷嶓出水作大江，
Địa hoạch thiên phù giới nam kỷ.,地砉天浮戒南紀。
"Thư vi ngũ sắc triêu hà huy,",舒為五色朝霞暉，
Thảm vi hổ báo hào âm phi.,慘為虎豹嗥陰霏。
"Hấp vi thiên chướng vân vũ nhập,",翕為千障雲雨入，
Hư vi bách lý lôi đình phi.,噓為百里雷霆飛。
"Bạch Diêm tuyết tiêu xuân thuỷ mãn,",白鹽雪消春水滿，
Cốc điểu tương hô Cẩm thành noãn.,谷鳥相呼錦城暖。
"Ba cơ ỷ ca Hán nữ hoà,",巴姬倚歌漢女和，
Dương liễu áp kiều hoa toản toản.,楊柳壓橋花纂纂。
"Đồng Lương thuý khí thông Thanh Linh,",銅梁翠氣通青蛉，
Bích kê đề lạc thiên thượng tinh.,碧雞啼落天上星。
"San đô hào phong quả cô khấp,",山都號風寡孤泣，
Đỗ quyên ô yết sầu u minh.,杜鵑嗚咽愁幽冥。
"Thương bi vũ nộ thính vị liễu,",商悲羽怒聽未了，
Cùng viên tam thanh Vu Giáp hiểu.,窮猿三聲巫峽曉。
"Cù Đường phún lãng phiên cửu uyên,",瞿塘噴浪翻九淵，
Đảo tả lưu tuyền huyên mộc diểu.,倒瀉流泉喧木杪。
"Lâu đầu Trọng Tuyên ky lữ khách,",樓頭仲宣羈旅客，
Cố hương diểu diểu giai trần cách.,故鄉渺渺皆塵隔。
"Hàm thê cánh thính Thục quốc âm,",含凄更聽蜀國音，
Bất đãi thiên minh đầu tận bạch.,不待天明頭盡白。
