vi,ch
"Thanh thiên hữu nguyệt lai kỷ thì,",青天有月來幾時，
Ngã kim đình bôi nhất vấn chi!,我今停杯一問之。
"Nhân phan minh nguyệt bất khả đắc,",人攀明月不可得，
Nguyệt hành khước dữ nhân tương tuỳ.,月行卻與人相隨。
"Kiểu như phi kính lâm đan khuyết,",皎如飛鏡臨丹闕，
Lục yên diệt tận thanh huy phát,綠煙滅盡清輝發。
"Đãn kiến tiêu tòng hải thượng lai,",但見宵從海上來，
Ninh tri hiểu hướng vân gian một.,寧知曉向雲間沒。
"Bạch thố đảo dược thu phục xuân,",白兔搗藥秋復春，
Thường nga cô thê dữ thuỳ lân.,嫦娥孤棲與誰鄰。
"Kim nhân bất kiến cổ thì nguyệt,",今人不見古時月，
Kim nguyệt tằng kinh chiếu cổ nhân.,今月曾經照古人。
"Cổ nhân kim nhân nhược lưu thuỷ,",古人今人若流水，
Cộng khan minh nguyệt giai như thử.,共看明月皆如此。
"Duy nguyện đương ca đối tửu thì,",唯願當歌對酒時，
Nguyệt quang thường chiếu kim tôn lý.,月光常照金樽裡。
