vi,ch
Ngã tại Ba Đông tam giáp thì,我在巴東三峽時，
Tây khán minh nguyệt ức Nga My,西看明月憶峨眉。
Nguyệt xuất Nga My chiếu thương hải,月出峨眉照滄海，
Dữ nhân vạn lý trường tương tuỳ,與人萬里長相隨。
Hoàng Hạc lâu tiền nguyệt hoa bạch,黃鶴樓前月華白，
Thử trung hốt kiến Nga My khách,此中忽見峨眉客。
Nga My sơn nguyệt hoàn tống quân,峨眉山月還送君，
Phong xuy tây đáo Trường An mạch,風吹西到長安陌。
Trường An đại đạo hoành cửu thiên,長安大道橫九天，
Nga My sơn nguyệt chiếu Tần Xuyên,峨眉山月照秦川。
Hoàng kim sư tử thừa cao toạ,黃金獅子乘高座，
"Bạch Ngọc, Chủ Vĩ đàm Trọng Huyền",白玉麈尾談重玄。
Ngã tự phù vân thế Ngô Việt,我似浮雲殢吳越，
Quân phùng thánh chúa du đan khuyết,君逢聖主遊丹闕。
Nhất chấn cao danh mãn đế đô,一振高名滿帝都，
Quy thì hoàn lộng Nga My nguyệt.,歸時還弄峨眉月。
