vi,ch
"Trùng môn tệ xuân tịch,",重門敝春夕，
Đăng chúc ái dư huy.,燈燭靄余煇。
"Tuý ngã bách tôn tửu,",醉我百尊酒，
Lưu liên dạ vị quy.,留連夜未歸。
"Trường Thành ẩm mã quật,",長城飲馬窟，
Ẩm mã mã hoàn kinh.,飲馬馬還驚。
"Ninh tri ô yết thuỷ,",寧知嗚咽水，
Do tác bảo đao minh.,猶作寶刀鳴。
"Kim nhật hoa tiền ẩm,",今日花前飲，
Cam tâm tuý sổ bôi.,甘心醉數杯。
Đãn sầu hoa hữu ngữ:,但愁花有語，
Bất vị lão nhân khai.,不為老人開。
"Ủng bị nghễ thuyền song,",擁被睨船窗，
Hành khách trùng hiểu phát.,行客重曉發。
"Giang biên tửu điếm ông,",江邊酒店翁，
Hàn tảo môn tiền tuyết.,寒掃門前雪。
"Tà nhật ỷ lâm chuyển,",斜日倚林轉，
Du vân cộng điểu hoàn.,遊雲共鳥還。
"Đông phong xuy thái cấp,",東風吹太急，
Lôi vũ bất ly san.,雷雨不離山。
"Lưu tô kết hợp hoan,",流蘇結合歡，
Tú bị song uyên ương.,繡被雙鴛鴦。
"Lang khứ hoàn hà nhật,",郎去還何日，
Thâm khuê dạ tự trường.,深閨夜自長。
"Xuất môn tống lang khứ,",出門送郎去，
Lang tâm bất khả trú.,郎心不可住。
"Nam bắc dị tiêu hồn,",南北易銷魂，
Độc ỷ tương tư thụ.,獨倚相思樹。
"Cổ khách bất tri sầu,",估客不知愁，
Đãn tuý tửu gia lâu.,但醉酒家樓。
"Nông tâm Lũng hạ thuỷ,",儂心隴下水，
Bi yết hà thời hưu.,悲咽何時休。
"Ấu nữ tài lục tuế,",幼女才六歲，
Vị tri xảo dữ chuyết.,未知巧與拙。
"Hướng dạ tại đường tiền,",向夜在堂前，
Học nhân bái tân nguyệt.,學人拜新月。
"Tửu bôi xuân tuý hảo,",酒杯春醉好，
Phi tuyết vãn đình nhàn.,飛雪晚庭閒。
"Cửu ức đồng tiền thưởng,",久憶同前賞，
Trung thu đối viễn san.,中秋對遠山。
"San viễn đối thu trung,",山遠對秋中，
Thưởng tiền đồng ức cửu.,賞前同憶久。
"Nhàn đình vãn tuyết phi,",閒庭晚雪飛，
Hảo tuý xuân bôi tửu.,好醉春杯酒。
