vi,ch
"Lục Cơ nhị thập tác văn phú,",陸機二十作文賦，
Nhữ cánh tiểu niên năng chuế văn.,汝更小年能綴文。
"Tổng giác thảo thư hựu thần tốc,",總角草書又神速，
Thế thượng nhi tử đồ phân phân.,世上兒子徒紛紛。
"Hoa lưu tác câu dĩ hãn huyết,",驊騮作駒已汗血，
Chí điểu cử cách liên thanh vân.,鷙鳥舉翮連青雲。
"Từ nguyên đảo lưu Tam Giáp thuỷ,",詞源倒流三峽水，
Bút trận độc tảo thiên nhân quân.,筆陣獨埽千人軍。
"Chỉ kim niên tài thập lục thất,",只今年才十六七，
Xạ sách quân môn kỳ đệ nhất.,射策軍門期第一。
"Cựu xuyên dương diệp chân tự tri,",舊穿楊葉真自知，
Tạm quyết sương đề vị vi thất.,暫蹶霜蹄未為失。
"Ngẫu nhiên trạc tú phi nan thủ,",偶然擢秀非難取，
Hội thị bài phong hữu mao chất.,會是排風有毛質。
"Nhữ thân dĩ kiến thoá thành châu,",汝身已見唾成珠，
Nhữ bá hà do phát như tất.,汝伯何由發如漆。
"Xuân quang đạm đà Tần Đông đình,",春光澹沱秦東亭，
Chử bồ nha bạch thuỷ hạnh thanh.,渚蒲牙白水荇青。
"Phong xuy khách y nhật cảo cảo,",風吹客衣日杲杲，
Thụ giảo ly tư hoa minh minh.,樹攪離思花冥冥。
"Tửu tận sa đầu song ngọc bình,",酒盡沙頭雙玉瓶，
Chúng tân giai tuý ngã độc tỉnh.,眾賓皆醉我獨醒。
"Nãi tri bần tiện biệt cánh khổ,",乃知貧賤別更苦，
Thôn thanh trịch trục thế lệ linh.,吞聲躑躅涕淚零。
