vi,ch
"Tiên sinh ái tửu xưng tửu tiên,",先生愛酒稱酒仙，
Thanh giả vi thánh trọc vi hiền.,清者為聖濁為賢。
"Thanh giang tam nguyệt bách hoa hợp,",清江三月百花合，
Giang đầu nhật toạ lưu bình thuyền.,江頭日坐流萍船。
"Tả hiệp Trương Hảo hữu Lý Quyên,",左挾張好右李娟，
Tử đàn song phượng côn kê huyền.,紫檀雙鳳鵾鷄弦。
"Khuynh gia mãi tửu thả vi lạc,",傾家買酒且為樂，
Lão phụ vật ưu vô tửu tiền.,老婦勿憂無酒錢。
"Bạch nhật tây một thiên đông toàn,",白日西沒天東旋，
Thu sương nhập kính hà đương huyền.,秋霜入鏡何當玄。
"Bồng Lai hữu lộ bất khả đáo,",蓬萊有路不可到，
Tổ Long dĩ hủ tam trùng tuyền.,祖龍已腐三重泉。
"Hà như khoái ẩm tam vạn nhật,",何如快飲三萬日，
Tửu lâu tức khởi tao khâu biên.,酒樓即起糟丘邊。
"Nguyện trì Bắc Đẩu ấp Đông Hải,",愿持北斗挹東海，
Nguyệt lạc chẩm cổ lâu đầu miên.,月落枕股樓頭眠。
