vi,ch
"Phủ dã chư hầu lão tân khách,",甫也諸侯老賓客，
Bãi tửu hàm ca thác kim kích.,罷酒酣歌拓金戟。
"Kỵ mã hốt ức thiếu niên thời,",騎馬忽憶少年時，
Tán đề bính lạc Cù Đường thạch.,散蹄迸落瞿塘石。
"Bạch Đế thành môn thuỷ vân ngoại,",白帝城門水雲外，
Đê thân trực hạ bát thiên xích.,低身直下八千尺。
"Phấn điệp điện chuyển tử du cương,",粉堞電轉紫遊韁，
Đông đắc bình cương xuất thiên bích.,東得平岡出天壁。
"Giang thôn dã đường tranh nhập nhãn,",江村野堂爭入眼，
Thuỳ tiên đả khống lăng tử mạch.,垂鞭嚲鞚淩紫陌。
"Hướng lai hạo thủ kinh vạn nhân,",向來皓首驚萬人，
Tự ỷ hồng nhan năng kỵ dịch.,自倚紅顏能騎射。
"An tri quyết ức truy phong túc,",安知決臆追風足，
Chu hãn tham đàm do phún ngọc.,朱汗驂驔猶噴玉。
"Bất ngu nhất quyết chung tổn thương,",不虞一蹶終損傷，
Nhân sinh khoái ý đa sở nhục.,人生快意多所辱。
"Chức đương ưu thích phục khâm chẩm,",職當憂戚伏衾枕，
Huống nãi trì mộ gia phiền xúc.,況乃遲暮加煩促。
"Bằng tri lai vấn thiển ngã nhan,",朋知來問腆我顏，
Trượng lê cường khởi y đồng bộc.,杖藜強起依僮僕。
"Ngữ tận hoàn thành khai khẩu tiếu,",語盡還成開口笑，
Đề huề biệt tảo thanh khê khúc.,提攜別掃清溪曲。
"Tửu nhục như san hựu nhất thời,",酒肉如山又一時，
Sơ diên ai ti động hào trúc.,初筵哀絲動豪竹。
"Cộng chỉ tây nhật bất tương thải,",共指西日不相貸，
Huyên hô thả phúc bôi trung lục.,喧呼且覆杯中淥。
"Hà tất tẩu mã bất vị thân,",何必走馬不為身，
Quân bất kiến:,君不見：
Kê Khang dưỡng sinh tao sát lục.,嵇康養生遭殺戮。
