vi,ch
"Nhất sắc phân phân, ngô bất tri kỳ hà vi hề, tiêu dư thần,",一色紛紛，吾不知其何為兮，宵歟晨。
"Ngô dục quan thái hư hề, Trường Canh dữ Khải Minh nhi câu dân.",吾欲觀太虛兮，長庚與啟明而俱泯。
"Chỉ tiền sơn nhi thức chiêm hề, thảo thụ đôi bạch dĩ luân khuân.",指前山而拭瞻兮，草樹堆白以輪囷。
"Khởi trường dạ chi vị ương hề, hồ vi hồ điểu thanh ước lược tương văn.",豈長夜之未央兮，胡為乎鳥聲約略相聞。
"Tương thanh thần chi sơ hi hề, hồ vi hồ bản kiều quýnh bất kiến nhân.",將清晨之初稀兮，胡為乎板橋敻不見人。
"Dư hữu nghi hồ tuyết nguyệt hề, hoán dư giả nhi tư tuân.",予有疑乎雪月兮，喚輿者而咨詢。
"Nãi thù ly chi bất biện hề, thủ chỉ khẩu nhi vân vân.",乃殊離之不辨兮，手指口而云云。
"Hành độc hội ư dư tâm hề, vũ trụ hồng hoang chi vị phân.",行獨會於予心兮，宇宙洪荒之未分。
"Hạ thuỳ vi xuyên nhạc hề, thượng thuỳ vi tinh vân.",下誰為川岳兮，上誰為星雲。
"Trung dĩ hà trạng nhi vi vật hề, dĩ hà hình nhi vi nhân.",中以何狀而為物兮，以何形而為人。
"Hựu hà vi thượng trung hạ hề, sử các loại tụ nhi quần phân.",又何為上中下兮，使各類聚而群分。
"Thị lý để không đồng hề, thị khí để hỗn luân.",是理底倥侗兮，是氣底渾淪。
"Hà danh lợi chi tương trục hề, thục vi sơ nhi vi thân.",何名利之相逐兮，孰為疏而為親。
"Hà tống nghênh chi tương phiền hề, thục vi nguỵ nhi vi chân.",何送迎之相煩兮，孰為偽而為真。
"Tự chu xa chi ký trần hề, bỉ vi Miêu nhi thử vi Huân;",自舟車之既陳兮，彼為猫而此為獯。
"Ký mâu kích chi tương tầm hề, nãi ngọc bạch chi tương lân...",既矛戟之相燖兮，乃玉帛之相鄰。
"Thuỷ hữu vạn thiên lý chi tu đồ hề, trùng tam dịch nhi sách hoa nhân,",始有萬千里之修途兮，重三譯而策驊駰。
"Cẩu nhân tích chi sở đáo hề, giai khả lý thanh sương nhi đạp hồng trần.",苟人迹之所到兮，皆可履青霜而踏紅塵。
"Hựu hà nghi phù tuyết nguyệt hề, kế giảo phù thâm tiêu chi dữ đại hân.",又何疑夫雪月兮，計較夫深宵之與大昕。
"Nguyện trường khang hồ thử thân hề, hiệu Cừ xa chi lân lân.",願長康乎此身兮，效蘧車之轔轔。
"Hạnh tư tưu chi vô cữu hề, kỳ thiểu đáp phù hồng quân.",幸諮諏之無咎兮，期少答夫洪均。
"Phú Liên xã chi quy lai hề, hiêu hiêu nhiên hy Sằn dã chi thiên dân.",賦蓮社之歸來兮，囂囂然希莘野之天民。
