vi,ch
"Hoả sinh vu mộc,",火生于木，
Hoạ phát tất khắc.,禍發必克。
"Khí sinh vu thân,",氣生于身，
Bất hỷ vi tặc.,不喜爲賊。
"Phu nộ hoả dã,",夫怒火也，
Nhi nhẫn vi thuỷ.,而忍爲水。
"Nhẫn tắc tĩnh hỹ,",忍則靜矣，
Tĩnh tắc nhẫn hỹ.,靜則忍矣。
"Phàm vật chi lai,",凡物之來，
Ảo dĩ ưng chi.,幻以應之。
"Ưng vô sở loạn,",應無所亂，
Tự nhiên thoái tán.,自然退散。
"Hựu niệm nhân sinh,",又念人生，
Tương tụ kỷ hà.,相聚幾何。
"Duy hảo bất túc,",唯好不足，
Hề dĩ phẫn gia.,奚以忿加。
"Phóng ngã ư nhân,",放我於人，
Thể nhân ư ngã.,体人於我。
"Nhân ngã lưỡng bình,",人我兩平，
An hữu ngỗ giả.,安有忤者。
"Di di như dã,",怡怡如也，
Nhất lạp kim đan.,一粒金丹。
"Tâm địa thanh lương,",心地清涼，
Du hý nhân gian.,遊戲人間。
