vi,ch
"Tật phong xuy trần ám Hà huyện,",疾風吹塵暗河縣，
Hành tử cách thủ bất tương kiến.,行子隔手不相見。
"Hồ Thành thành nam nhất khai nhãn,",湖城城南一開眼，
Trú mã ngẫu thức Vân Khanh diện.,駐馬偶識雲卿面。
"Hướng phi Lưu Hạo vi địa chủ,",向非劉顥為地主，
Lãn hồi tiên bí thành cao yến.,懶回鞭轡成高宴。
"Lưu hầu thán ngã huề khách lai,",劉侯歎我攜客來，
Trí tửu trương đăng xúc hoa soạn.,置酒張燈促華饌。
"Thả tương khoản khúc chung kim tịch,",且將款曲終今夕，
Hưu ngữ gian nan thượng hàm chiến.,休語艱難尚酣戰。
"Chiếu thất hồng lô xúc thự quang,",照室紅爐促曙光，
Oanh song tố nguyệt thuỳ văn luyện.,縈窗素月垂文練。
"Thiên khai địa liệt Trường An mạch,",天開地裂長安陌，
Hàn tận xuân sinh Lạc Dương điện.,寒盡春生洛陽殿。
"Khởi tri khu xa phục đồng quỹ,",豈知驅車復同軌，
Khả tích khắc lậu tuỳ canh tiễn.,可惜刻漏隨更箭。
"Nhân sinh hội hợp bất khả thường,",人生會合不可常，
Đình thụ kê minh lệ như tuyến.,庭樹雞鳴淚如線。
