vi,ch
"Ức tích Lạc Dương Đổng Tao khâu,",憶昔洛陽董糟丘，
Vị dư Thiên Tân kiều nam tạo tửu lâu.,為余天津橋南造酒樓。
"Hoàng kim bạch bích mãi ca tiếu,",黃金白璧買歌笑，
Nhất tuý luy nguyệt khinh vương hầu.,一醉累月輕王侯。
"Hải nội hiền hào thanh vân khách,",海內賢豪青雲客，
Tựu trung dữ quân tâm mạc nghịch.,就中與君心莫逆。
"Hồi sơn chuyển hải bất tác nan,",回山轉海不作難，
Khuynh tình đảo ý vô sở tích.,傾情倒意無所惜。
"Ngã hướng Hoài Nam phan quế chi,",我向淮南攀桂枝，
Quân lưu Lạc bắc sầu mộng tư.,君留洛北愁夢思。
"Bất nhẫn biệt,",不忍別，
Hoàn tương tuỳ.,還相隨，
"Tương tuỳ điều điều phỏng tiên thành,",相隨迢迢訪仙城。
Tam thập lục khúc thuỷ hồi oanh.,三十六曲水迴縈，
"Nhất khê sơ nhập thiên hoa minh,",一溪初入千花明。
Vạn hác độ tận tùng phong thanh.,萬壑度盡松風聲，
"Ngân an kim lạc đáo bình địa,",銀鞍金絡倒平地，
Hán Đông thái thú lai tương nghênh.,漢東太守來相迎。
"Tử Dương chi chân nhân,",紫陽之真人，
Yêu ngã xuy ngọc sanh.,邀我吹玉笙。
"Xan Hà lâu thượng động tiên nhạc,",餐霞樓上動仙樂，
Tào nhiên uyển tự loan phượng minh.,嘈然宛似鸞鳳鳴。
"Tụ trường quản thôi dục khinh cử,",袖長管催欲輕舉，
Hán Đông thái thú tuý khởi vũ.,漢東太守醉起舞。
"Thủ trì cẩm bào phú ngã thân,",手持錦袍覆我身，
Ngã tuý hoành miên chẩm kỳ cổ.,我醉橫眠枕其股。
"Đương diên ý khí lăng cửu tiêu,",當筵意氣凌九霄，
"Tinh ly vũ tán bất chung triêu,",星離雨散不終朝，
Phân phi Sở quan sơn thuỷ diêu.,分飛楚關山水遙。
"Dư ký hoàn sơn tầm cố sào,",余既還山尋故巢，
Quân diệc quy gia độ Vị kiều.,君亦歸家渡渭橋。
"Quân gia nghiêm quân dũng tì hổ,",君家嚴君勇貔虎，
Tác duẫn Tinh Châu át Nhung lỗ.,作尹并州遏戎虜。
"Ngũ nguyệt tương hô độ Thái Hàng,",五月相呼度太行，
Thôi luân bất đạo dương trường khổ.,摧輪不道羊腸苦。
"Hành lai bắc lương tuế nguyệt thâm,",行來北凉歲月深，
Cảm quân quý nghĩa khinh hoàng câm.,感君貴義輕黃金。
"Quỳnh bôi ỷ thực thanh ngọc án,",瓊杯綺食青玉案，
Sử ngã tuý bão vô quy tâm.,使我醉飽無歸心。
"Thời thời xuất hướng thành tây khúc,",時時出向城西曲，
Tấn từ lưu thuỷ như bích ngọc.,晉祠流水如碧玉。
"Phù chu lộng thuỷ tiêu cổ minh,",浮舟弄水簫鼓鳴，
Vi ba long lân ta thảo lục.,微波龍鱗莎草綠。
"Hứng lai huề kĩ tứ kinh qua,",興來攜妓恣經過，
Kỳ nhược dương hoa tự tuyết hà!,其若楊花似雪何。
"Hồng trang dục tuý nghi tà nhật,",紅妝欲醉宜斜日，
Bách xích thanh đàm tả thuý nga.,百尺清潭寫翠娥。
"Thuý nga thiền quyên sơ nguyệt huy,",翠娥嬋娟初月輝，
Mỹ nhân cánh xướng vũ la y.,美人更唱舞羅衣。
"Thanh phong xuy ca nhập không khứ,",清風吹歌入空去，
Ca khúc tự nhiễu hành vân phi.,歌曲自繞行雲飛。
Thử thời hành lạc nan tái ngộ.,此時行樂難再遇，
Tây du nhân hiến “Trường dương phú”.,西遊因獻長楊賦。
"Bắc khuyết thanh vân bất khả kỳ,",北闕青雲不可期，
Đông sơn bạch thủ hoàn quy khứ.,東山白首還歸去。
"Vị kiều nam đầu nhất ngộ quân,",渭橋南頭一遇君，
Tán đài chi bắc hựu ly quần.,酇臺之北又離群。
"Vấn dư biệt hận tri đa thiểu,",問余別恨知多少，
Lạc hoa xuân mộ tranh phân phân.,落花春暮爭紛紛。
"Ngôn diệc bất khả tận,",言亦不可盡，
Tình diệc bất khả cực.,情亦不可極。
"Hô nhi trường quỵ giam thử từ,",呼兒長跪緘此辭，
Ký quân thiên lý dao tương ức.,寄君千里遙相憶。
