vi,ch
"Tử phủ lâu các cao tương ỷ,",紫府樓閣高相倚，
Kim bích hộ dũ hồng huy khởi.,金碧戶牖紅暉起。
"Kỳ gian yến tức giai tiên tử,",其間燕息皆仙子，
Tuyệt thế yêu tư diệu nan bỉ.,絕世妖姿妙難比。
"Ngẫu nhiên tư niệm khởi trần tâm,",偶然思念起塵心，
"Kỷ niên trích hướng Hành Dương thị,",幾年謫向衡陽市。
"A Kiều phi hạ cửu thiên lai,",阿嬌飛下九天來，
Trưởng tại xướng gia ngẫu nhiên nhĩ.,長在娼家偶然耳。
"Thiên tư tài sắc nghĩ tuyệt luân,",天姿才色擬絕倫，
Áp đảo hoa cù chúng la khỉ.,壓倒花衢衆羅綺。
"Cám phát nùng đôi Vu Giáp vân,",紺髪濃堆巫峽雲，
Thuý mâu hoành tiễn thu giang thuỷ.,翠眸橫剪秋江水。
"Tố thủ tiêm trường tế tế viên,",素手纖長細細圓，
Xuân duẫn thoát hướng thanh vân lý.,春筍脫向青雲裏。
"Văn lý tiên hoa trách trách cung,",紋履鮮花窄窄弓，
Phụng đầu sí khởi hồng quần để.,鳳頭翅起紅裙底。
"Hữu thời tiếu ỷ tiểu lan can,",有時笑倚小欄桿，
Đào hoa vô ngôn loạn hồng uỷ.,桃花無言亂紅委。
"Vương tôn nghịch mục tự lao hồn,",王孫逆目似勞魂，
Đông lân nhất kiến hoàn tu tử.,東鄰一見還羞死。
"Tự thử thành trung hào phú nhi,",自此城中豪富兒，
Hô đồng khống mã tương truy tuỳ.,呼僮控馬相追隨。
"Thiên kim mãi đắc ca nhất khúc,",千金買得歌一曲，
Mộ vũ triêu vân trấn tương tục.,暮雨朝雲鎮相續。
"Hoàng đô niên thiếu thị Liễu quân,",皇都年少是柳君，
Thể đoạn phong lưu vạn sự túc.,體段風流萬事足。
"Ấu Ngọc nhất kiến khổ lưu tâm,",幼玉一見苦留心，
Ân cần hậu khiển hành nhân chúc.,殷勤厚遣行人祝。
"Thanh vũ phi lai động hộ tiền,",青羽飛來洞戶前，
Duy lang khổ hận đa câu thúc.,惟郎苦恨多拘束。
"Du thân bất sử phụ mẫu tri,",偷身不使父母知，
Giang đình ám cộng tài lang túc.,江亭暗共才郎宿。
"Do khủng ân tình vị thậm kiên,",猶恐恩情未甚堅，
Giải khai hoàn kế đối lang tiền.,解開鬟髻對郎前。
"Nhất lũ vân tuỳ kim tiễn đoạn,",一縷雲隨金剪斷，
Lưỡng tâm nùng cánh mật như miên.,兩心濃更密如綿。
"Tự cổ mỹ sự đa ma cách,",自古美事多磨隔，
Vô thời lưỡng ý không huyền huyền.,無時兩意空懸懸。
"Thanh tiêu trường thán minh nguyệt hạ,",清宵長嘆明月下，
Hoa thời sái lệ đông phong tiền.,花時灑淚東風前。
"Oán nhập chu huyền nguy cánh đoạn,",怨入朱弦危更斷，
Lệ như châu khoả tự tương liên.,淚如珠顆自相連。
"Nguy lâu độc ỷ vô nhân hội,",危樓獨倚無人會，
Tân thư tả hận thác thuỳ truyền.,新書寫恨託誰傳。
"Nại hà Ấu Ngọc gia hữu mẫu,",奈何幼玉家有母，
Tri thử đoan nghê súc sân nộ.,知此端倪蓄嗔怒。
"Thiên kim mãi tửu chúc dung nhân,",千金買酒囑傭人，
Mật ước u hoan trấn tương ngộ.,密約幽歡鎮相悞。
"Tương nhận dục gia liên lý chi,",將刃欲加連理枝，
Dẫn cung dục đàn kiêm kiêm vũ.,引弓欲彈鶼鶼羽。
"Tiên sơn chỉ tại hải trung tâm,",仙山只在海中心，
Phong nghịch ba khẩn vô thuyền độ.,風逆波緊無船渡。
"Đào nguyên khứ lộ cách yên hà,",桃源去路隔煙霞，
Chỉ xích trần ai vô mịch xứ.,咫尺塵埃無覓處。
"Lang tâm Ngọc ý cộng ân cần,",郎心玉意共殷勤，
Đồng chỉ tùng quân tình dũ cố.,同指松筠情愈固。
"Nguyện lang thệ tử mạc cải di,",願郎誓死莫改移，
Nhân sự hữu thời tự tương ngộ.,人事有時自相遇。
"Tha nhật đắc lang quy lai thời,",他日得郎歸來時，
Huề thủ đồng thướng yên hà lộ.,攜手同上煙霞路。
