vi,ch
"Ngô Trung bạch trữ bạch như sương,",吳中白紵白如霜，
Xuân phong nhập y lan xạ hương.,春風入衣蘭麝香。
"Nhị nguyệt thành nam tang diệp lục,",二月城南桑葉綠，
Tân tàm sơ xuất vi ư túc.,新蠶初出微於粟。
"Thái tang nhật yến huề khuông quy,",采桑日晏攜筐歸，
Dạ bán huyền đăng đãi tàm thục.,夜半懸燈待蠶熟。
"Sào thành tố ti kinh thượng cơ,",繅成素絲經上機，
Lưỡng nhật nhất thất do khổ trì.,兩日一匹猶苦遲。
"Chức thành tài y dữ lang trứ,",織成裁衣與郎著，
Thiếp ninh tân khổ giao lang lạc.,妾甯辛苦教郎樂。
"Gia trung bần phú thuỳ đắc tri,",家中貧富誰得知，
Lang vô y trứ tha nhân xi.,郎無衣著他人嗤。
