vi,ch
"Thanh sơn thanh, thanh dục đoạn,",青山青，青欲斷，
Thanh sơn đoạn xứ vân như mạn.,青山斷處雲如幔。
"Nhân gia thâm trú ổ đông đầu,",人家深住塢東頭，
Cương bị vân già nhất đa bán.,剛被雲遮一多半。
"Sơn hề vân hề diểu mạc phân,",山兮雲兮窅莫分，
Kê khuyển dao cách vân trung văn.,雞犬遙隔雲中聞。
"Hữu thời tuỳ phong hoặc lăng loạn,",有時隨風或凌亂，
Trường nhật dữ sơn tương thổ thôn.,長日與山相吐吞。
"Thành trung xa mã đa như chức,",城中車馬多如織，
Một mã hồng trần thâm kỷ xích.,沒馬紅塵深幾尺。
"Chỉ hữu phú quý giải lưu nhân,",只有富貴解留人，
Thả dữ vân sơn vị tằng thức.,且與雲山未曾識。
"Hu ta sơn trung nhân,",吁嗟山中人，
Mộng ức Vân Trung Quân.,夢憶雲中君。
"Quyển thư tuỳ sở thích,",卷舒隨所適，
Phóng lãng do thiên chân.,放浪由天真。
"Ngã tích tây du đăng Ngũ Lão,",我昔西游登五老，
Ngũ Lão chư phong tháp tình hạo.,五老諸峰插晴昊。
"Tửu hàm phóng ca Trích Tiên cú,",酒酣放歌謫仙句，
Nghĩ cộng vân tùng kết sào hảo.,擬共雲松結巢好。
"Giang Lang tự thị thanh vân tư,",江郎自是青雲姿，
Án đồ tiếu sách vân sơn thi.,按圖笑索雲山詩。
"Tòng lai tri nhĩ xuất sơn khứ,",從來知爾出山去，
Vi vũ vi lâm đương cập thì.,為雨為霖當及時。
