vi,ch
"Lão phu thanh thần sơ bạch đầu,",老夫清晨梳白頭，
Huyền Đô đạo sĩ lai tương phỏng.,玄都道士來相訪。
Ác phát hô nhi diên nhập hộ.,握髮呼兒延入戶，
Thủ đề tân hoạ thanh tùng chướng.,手提新畫青松障。
"Chướng tử tùng lâm tĩnh liểu minh,",障子松林靜杳冥，
Bằng hiên hốt nhược vô đan thanh.,憑軒忽若無丹青。
"Âm nhai khước thừa sương tuyết cán,",陰崖卻承霜雪幹，
Yển cái phản tẩu cầu long hình.,偃蓋反走虯龍形。
"Lão phu bình sinh hiếu kỳ cổ,",老夫平生好奇古，
Đối thử hứng dữ tinh linh tụ.,對此興與精靈聚。
"Dĩ tri tiên khách ý tương thân,",已知仙客意相親，
Cánh giác lương công tâm độc khổ.,更覺良工心獨苦。
"Tùng hạ trượng nhân cân lũ đồng,",松下丈人巾屨同，
Ngẫu toạ tự thị Thương Sơn ông.,偶坐似是商山翁。
"Trướng vọng liêu ca Tử chi khúc,",悵望聊歌紫芝曲，
Thì nguy thảm đạm lai bi phong.,時危慘澹來悲風。
