vi,ch
"Lân giác phượng chuỷ thế mạc thức,",麟角鳳觜世莫識，
Tiên giao tục huyền kỳ tự kiến.,煎膠續弦奇自見。
"Thượng khan Vương sinh bão thử hoài,",尚看王生抱此懷，
Tại ư Phủ dã hà do tiện.,在於甫也何由羨。
"Thả ngộ Vương sinh uỷ trù tích,",且遇王生慰疇昔，
Tố tri tiện tử cam bần tiện.,素知賤子甘貧賤。
Khốc kiến đống nỗi bất túc sỉ.,酷見凍餒不足恥，
Đa bệnh trầm niên khổ vô kiện.,多病沈年苦無健。
"Vương sinh quái ngã nhan sắc ác,",王生怪我顏色惡，
Đáp vân phục chẩm gian nan biến.,答雲伏枕艱難遍。
"Ngược lệ tam thu thục khả nhẫn,",瘧癘三秋孰可忍，
Hàn nhiệt bách nhật tương giao chiến.,寒熱百日相交戰。
"Đầu bạch nhãn ám toạ hữu đê,",頭白眼暗坐有胝，
Nhục hoàng bì trứu mệnh như tuyến.,肉黃皮皺命如線。
"Duy sinh ai ngã vị bình phục,",惟生哀我未平復，
Vị ngã lực trí mĩ hào thiện.,為我力致美肴膳。
"Khiển nhân hướng thị xa hương canh,",遣人向市賒香粳，
Hoán phụ xuất phòng thân tự soạn.,喚婦出房親自饌。
"Trường An đông thư toan thả lục,",長安冬菹酸且綠，
Kim thành thổ tô tĩnh như luyện.,金城土酥靜如練。
"Kiêm cầu phú hào thả cát tiên,",兼求富豪且割鮮，
Mật cô đấu tửu hài chung yến.,密沽鬥酒諧終宴。
"Cố nhân tình nghĩa vãn thuỳ tự,",故人情義晚誰似，
Linh ngã thủ cước khinh dục triển.,令我手腳輕欲漩。
"Lão mã vi câu tín bất hư,",老馬為駒信不虛，
Đương thì đắc ý huống thâm quyến.,當時得意況深眷。
"Đãn sử tàn niên bão cật phạn,",但使殘年飽吃飯，
Chỉ nguyện vô sự thường tương kiến.,只願無事常相見。
