vi,ch
"Nhật dạ kiêm trình ngũ bách lý,",日夜兼程五百里，
Nhân mã trì khu bất cảm thuỵ.,人馬馳驅不敢睡。
"Khổn thần hoả tốc đằng chiếu thư,",閫臣火速騰詔書，
Phiên sứ tinh trì phụng thiên chỉ.,藩使星馳奉天旨。
"Cửu thiên cao vũ nhuận tuỳ xa,",九天膏雨潤隨車，
Nhất hồi ông ế nhất bàng đà.,一回翁翳一滂沱。
"Bộc bố như lôi thuỷ như tiễn,",瀑布如雷水如箭，
Chu tử huyên hô: “Công độ hà”.,舟子喧呼公渡河。
"Tài độ liễu hà phục đăng lĩnh,",才渡了河復登嶺，
Lĩnh thạch như tiêm thiên sắc minh.,嶺石如尖天色暝。
"Không sơn tịch mịch vô thôn yên,",空山寂寞無村煙，
Nhân ngữ đãn tòng vân ngoại thính.,人語但從雲外聽。
"Bản kiều dao dao chúc diệt minh,",板橋遙遙燭滅明，
Thú tốt truyền hô lai tiếp nghinh.,戍卒傳呼來接迎。
"Yên vụ mông mông sắc bất biện,",煙霧蒙蒙色不辨，
Tu du đông sơn nhất luân sinh.,須臾東山一輪生。
"Giang sơn nhập nhãn kham đồ hoạ,",江山入眼堪圖畫，
Đăng chúc tinh huỳnh thiên bất dạ.,燈燭晶熒天不夜。
"Vĩnh Phúc thành trung nhân vật hoa,",永福城中人物華，
Lâm lưu lân tập xưởng đình tạ.,臨流鱗集廠亭榭。
"Ngũ hoa thái kết quán tân đường,",五花彩結館賓堂，
Sứ thần hàm tuất từ bất đương.,使臣銜恤辭不當。
"Sảnh tào tòng sự các gia ngạch,",廳曹從事各加額，
Cá cá bất vong ngô tiền vương.,個個不忘吾前王。
"Tích nhân tằng ngôn Tỉnh Hình đạo,",昔人曾言井陘道，
Khuynh hiểm vô như gia ý hảo.,傾險無如加意好。
"Hành viễn đăng cao yếu tự trì,",行遠登高要自持，
Thiên vương dĩ hứa hồi quy tảo.,天王已許回歸早。
