vi,cn
"Sinh tử do lai bãi vấn trình,",生死由來罷問程，
Nhân duyên thời tiết tự nhiên thành.,因緣時節自然成。
"Sơn vân dã hữu xuất sơn thế,",山雲也有出山勢，
Giản thuỷ chung vô đầu giản thanh.,澗水終無投澗聲。
"Tuế tuế hoa tuỳ tam nguyệt tiếu,",歲歲花隨三月笑，
Triêu triêu kê hướng ngũ canh minh.,朝朝雞向五更鳴。
"A thuỳ hội đắc nương sinh diện,",阿誰會得娘生面，
Thuỷ tín nhân thiên tổng giả danh.,始信人天總假名。
"Phiêu bồng ngã bối các tha hương,",漂蓬我輩各他鄉，
Tân khổ thiên quân phận ngoại thường.,辛苦天君分外常。
"Tính mệnh kỷ hồi tần tử địa,",性命幾迴頻死地，
Tu mi tam độ nhập linh đường.,鬚眉三度入齡堂。
"Kinh nhân sự nghiệp thiên đào chú,",驚人事業天陶鑄，
Bất thế phong vân đế chủ trương.,不世風雲帝主張。
"Giả sử tiền đồ tận di thản,",賈使前圖盡夷坦，
Anh hùng hào kiệt giã dung thường.,英雄豪傑也容常。
"Dục biệt tình hoài ý ảm nhiên,",欲別情懷意黯然，
Mộ vân xuân thụ lưỡng kham liên.,暮雲春樹兩堪憐。
"Tích phi mệnh sứ nguyên phùng diện,",昔非命使原逢面，
Kim thức Kinh Châu diệc thị thiên.,今識荊州亦是天。
"Đối tửu khởi đồng Từ Nhụ tháp,",對酒豈同徐孺榻，
Luận văn cộng tải Lý Ưng thuyền.,論文共載李膺船。
"Yếu tri biệt hậu tương tư cận,",要知別後相思近，
Trường tại quang phong tễ nguyệt tiền.,長在光風霽月前。
"Lạp lạp phong xuy phất diện sa,",獵獵風吹拂面沙，
Đàm đàm quan phủ kiến cao nha.,潭潭官府建高衙。
"Tham khan bách nhị quan hà khoát,",貪看百二關河闊，
Bất cố bát thiên lộ đồ xa.,不顧八千路途賒。
"Tôn hạp quế bàn khai cái thỉnh,",樽盒桂盤開蓋請，
Y quan lễ nhạc quý hoàng hoa.,衣冠禮樂愧皇華。
"Nhân sinh tụ tán như nam bắc,",人生聚散如南北，
Đồng nhạc thanh triêu hậu đức gia.,同樂清朝厚德嘉。
"Sơn sắc thương nhiên khách tiêu nhiên,",山色蒼然客蕭然，
Cáp như hỗn độn vị khai niên.,恰如混沌未開年。
"Tháp tiêm ẩn ẩn khung lâm bán,",塔尖隱隱穹林半，
