vi,ch
"Tạc dạ Ngô trung tuyết,",昨夜吳中雪，
Tử Du giai hứng phát.,子猷佳興發。
"Vạn lý phù vân quyển bích sơn,",萬里浮雲卷碧山，
Thanh thiên trung đạo lưu cô nguyệt.,青天中道流孤月。
"Cô nguyệt thương lãng Hà Hán thanh,",孤月滄浪河漢清，
Bắc Đẩu thác lạc Trường Canh minh.,北斗錯落長庚明。
"Hoài dư đối tửu dạ sương bạch,",懷餘對酒夜霜白。
Ngọc sàng kim tĩnh băng tranh vanh.,玉床金井冰崢嶸。
"Nhân sinh phiêu hốt bách niên nội,",人生飄忽百年內，
Thả tu hàm sướng vạn cổ tình.,且須酣暢萬古情。
"Quân bất năng ly cao kim cự học đấu kê,",君不能狸膏金距學斗雞，
Toạ linh tị tức xuy hồng nghê.,坐令鼻息吹虹霓。
"Quân bất năng học Kha Thư,",君不能學哥舒，
"Hoành hành Thanh Hải dạ đới đao,",橫行青海夜帶刀。
Tây đồ Thạch Bảo thủ tử bào.,西屠石堡取紫袍。
"Ngâm thi tác phú bắc song lý,",吟詩作賦北窗裏，
Vạn ngôn bất trị nhất bôi thuỷ.,萬言不值一杯水。
"Thế nhân văn thử giai điệu đầu,",世人聞此皆掉頭，
Hữu như đông phong xạ mã nhĩ.,有如東風射馬耳。
"Ngư mục diệc tiếu ngã,",魚目亦笑我，
Vị dữ minh nguyệt đồng.,謂與明月同。
"Hoa lưu quyền cục bất năng thực,",驊騮拳跼不能食，
Kiển lư đắc chí minh xuân phong.,蹇驢得志鳴春風。
"“Chiết dương”, “Hoàng hoa” hợp lưu tục,",折楊黃華合流俗，
Tấn quân thính cầm uổng “Thanh giác”.,晉君聽琴枉清角。
"“Ba nhân” thuỳ khẳng hoà “Dương xuân”,",巴人誰肯和陽春，
Sở địa do lai tiện kỳ phác.,楚地猶來賤奇璞。
"Hoàng kim tán tận giao bất thành,",黃金散盡交不成，
Bạch thủ vi nho thân bị khinh.,白首為儒身被輕。
"Nhất đàm nhất tiếu thất nhan sắc,",一談一笑失顏色，
Thương dăng bối cẩm huyên báng thanh.,蒼蠅貝錦喧謗聲。
Tằng Tham khởi thị sát nhân giả?,曾參豈是殺人者？
Sàm ngôn tam cập từ mẫu kinh.,讒言三及慈母惊。
"Dữ quân luận tâm ác quân thủ,",與君論心握君手，
Vinh nhục vu dư diệc hà hữu?,榮辱于余亦何有？
"Khổng thánh do văn thương phụng lân,",孔聖猶聞傷鳳麟，
Đổng Long cánh thị hà kê cẩu!,董龍更是何雞狗！
"Nhất sinh ngạo ngạn khổ bất hài,",一生傲岸苦不諧，
Ân sơ môi lao chí đa quai.,恩疏媒勞志多乖。
"Nghiêm Lăng cao ấp Hán thiên tử,",嚴陵高揖漢天子，
Hà tất trường kiếm trụ di sự ngọc giai.,何必長劍拄頤事玉階。
"Đạt diệc bất túc quý, cùng bất túc bi.",達亦不足貴，窮不足悲。
"Hàn Tín tu tương Giáng, Quán tỉ,",韓信羞將絳灌比，
Nễ Hành sỉ trục đồ cổ nhi.,檷衡恥逐屠沽兒。
"Quân bất kiến Lý Bắc Hải,",君不見李北海，
Anh phong hào khí kim hà tại!,英風豪氣今何在！
"Quân bất kiến Bùi thượng thư,",君不見裴尚書，
Thổ phần tam xích hao cức cư!,土墳三尺蒿棘居！
"Thiếu niên tảo dục Ngũ Hồ khứ,",少年早欲五湖去，
Kiến thử di tương chung đỉnh sơ.,見此彌將鍾鼎疏。
