vi,ch
Quân bất kiến:,君不見：
"Côn Ngô thiết dã phi viêm yên,",昆吾鐵冶飛炎煙，
Hồng quang tử khí câu hách nhiên.,紅光紫氣俱赫然。
"Lương công đoàn luyện phàm kỷ niên,",良工鍛煉凡幾年，
Chú đắc bảo kiếm danh Long Tuyền.,鑄得寶劍名龍泉。
"Long Tuyền nhan sắc như sương tuyết,",龍泉顏色如霜雪，
Lương công tư ta thán kỳ tuyệt.,良工咨嗟嘆奇絕。
"Lưu ly ngọc hạp thổ liên hoa,",琉璃玉匣吐蓮花，
Thác lũ kim hoàn ánh minh nguyệt.,錯鏤金環映明月。
"Chính phùng thiên hạ vô phong trần,",正逢天下無風塵，
Hạnh đắc chu phòng quân tử thân.,幸得周防君子身。
"Tinh quang ảm ảm thanh xà sắc,",精光黯黯青蛇色，
Văn chương phiến phiến lục quy lân.,文章片片綠龜鱗。
"Phi trực tiếp giao du hiệp tử,",非直接交遊俠子，
Diệc tằng thân cận anh hùng nhân.,亦曾親近英雄人。
"Hà ngôn trung lộ tao khí quyên,",何言中路遭棄捐，
Linh lạc phiêu luân cổ ngục biên.,零落飄淪古獄邊。
"Tuy phục trầm mai vô sở dụng,",雖復沉埋無所用，
Do năng dạ dạ khí xung thiên.,猶能夜夜氣衝天。
