vi,ch
"Thái ngọc thái ngọc tu thuỷ bích,",採玉採玉須水碧，
Trác tác bộ dao đồ hảo sắc.,琢作步搖徒好色。
"Lão phu cơ hàn long vi sầu,",老夫飢寒龍為愁，
Lam khê thuỷ khí vô thanh bạch.,藍溪水氣無清白。
"Dạ vũ cương đầu thực trăn tử,",夜雨岡頭食榛子，
Đỗ quyên khẩu huyết lão phu lệ.,杜鵑口血老夫淚。
"Lam khê chi thuỷ yếm sinh nhân,",藍溪之水厭生人，
Thân tử thiên niên hận khê thuỷ.,身死千年恨溪水。
"Tà sơn bách phong vũ như khiếu,",斜山柏風雨如嘯，
Tuyền cước quải thằng thanh diểu diểu.,泉腳掛繩青裊裊。
"Thôn hàn bạch ốc niệm kiều anh,",村寒白屋念嬌嬰，
Cổ đài thạch đặng huyền trường thảo.,古臺石磴懸腸草。
