vi,ch
"Lục vương tất, tứ hải nhất,",六王畢、四海一、
"Thục sơn ngột, A Phòng xuất.",蜀山兀、阿房出。
"Phú áp tam bách dư lý, cách ly thiên nhật.",覆壓三百餘里、隔離天日。
"Ly sơn bắc cấu nhi tây chiết, trực tẩu Hàm Dương.",驪山北構而西折、直走咸陽。
"Nhị xuyên dung dung, lưu nhập cung tường.",二川溶溶、流入宮牆。
"Ngũ bộ nhất lâu, thập bộ nhất các,",五步一樓、十步一閣、
"Lang yêu mạn hồi, thiềm nha cao trác.",廊腰縵迴、簷牙高啄。
"Các bão địa thế, câu tâm đấu giác.",各抱地勢、鉤心鬥角。
"Bàn bàn yên, khuân khuân yên,",盤盤焉、囷囷焉、
"Phong phòng thuỷ oa, súc bất tri kỳ kỷ thiên vạn lạc.",蜂房水渦、矗不知其幾千萬落。
"Trường kiều ngoạ ba, vị vân hà long?",長橋臥波、未雲何龍？
"Phức đạo hành không, bất tễ hà hồng?",複道行空、不霽何虹？
"Cao đê minh mê, bất tri tây đông.",高低冥迷、不知西東。
"Ca đài noãn hưởng, xuân quang dung dung.",歌臺暖響、春光融融。
"Vũ điện lãnh tụ, phong vũ thê thê.",舞殿冷袖、風雨淒淒。
"Nhất nhật chi nội, nhất cung chi gian, nhi khí hậu bất tề.",一日之內、一宮之間、而氣候不齊。
"Phi tần dắng tường, vương tử hoàng tôn, từ lâu hạ điện liễn lai ư Tần.",妃嬪媵嬙、王子皇孫、辭樓下殿輦來於秦。
"Triêu ca dạ huyền, vi Tần cung nhân.",朝歌夜絃、為秦宮人。
"Minh tinh huỳnh huỳnh, khai trang kính dã,",明星熒熒、開妝鏡也、
"Lục vân nhiễu nhiễu, sơ hiểu hoàn dã,",綠雲擾擾、梳曉鬟也、
"Vị lưu trướng nhị, khí chi thuỷ dã,",渭流漲膩、棄脂水也、
"Yên tà vụ hoành, phần tiêu lan dã,",煙斜霧橫、焚椒蘭也、
"Lôi đình sạ kinh, cung xa quá dã,",雷霆乍驚、宮車過也、
"Lộc lộc viễn thính, yểu bất tri kỳ sở chi dã.",轆轆遠聽、杳不知其所之也。
"Nhất cơ nhất dung, tận thái cực nghiên,",一肌一容、盡態極妍、
"Mạn lập viễn thị nhi vọng hạnh yên,",縵立遠視而望幸焉、
Hữu bất đắc kiến giả tam lục niên.,有不得見者三六年。
"Yên Triệu thu tàng, Hàn Nguỵ chi kinh doanh,",燕趙收藏、韓魏之經營、
"Tề Sở chi tinh anh, kỷ thế kỷ niên, thủ lược kỳ nhân, ỷ điệp như sơn.",齊楚之精英、幾世幾年、取掠其人、倚疊如山。
"Nhất đán bất năng hữu, thâu lai kỳ gian.",一旦不能有、輸來其間。
"Đỉnh sanh ngọc thạch, kim khối châu lịch, khí trịch lệ dĩ.",鼎鐺玉石、金塊珠礫、棄擲邐迤。
"Tần nhân thị chi, diệc bất thậm tích.",秦人視之、亦不甚惜。
Ta hồ!,嗟乎！
"Nhất nhân chi tâm, thiên vạn nhân chi tâm dã.",一人之心、千萬人之心也。
"Tần ái phân xa, nhân diệc niệm kỳ gia.",秦愛紛奢、人亦念其家。
"Nại hà thủ chi tận truy thù, dụng chi như nê sa!",奈何取之盡錙銖、用之如泥沙！
"Sử phụ đống chi trụ, đa ư nam mẫu chi nông phu,",使負棟之柱、多於南畝之農夫、
"Giá lương chi chuyên, đa ư cơ thượng chi công nữ,",架梁之椽、多於機上之工女、
"Đinh đầu lân lân, đa tại dữu chi túc lạp,",釘頭磷磷、多在庾之粟粒、
"Ngoã phùng tham soa, đa ư chu thân chi bạch lũ,",瓦縫參差、多於周身之帛縷、
"Trực lan hoành hạm, đa ư cửu thổ chi thành quách,",直欄橫檻、多於九土之城郭、
"Quản huyền ẩu á, đa ư thị nhân chi ngôn ngữ.",管絃嘔啞、多於市人之言語。
"Sử thiên hạ chi nhân bất cảm ngôn nhi cảm nộ,",使天下之人不敢言而敢怒、
"Độc phu chi tâm, nhật ích kiêu cố.",獨夫之心、日益驕固。
"Thú tốt khiếu, Hàm Cốc cử,",戍卒叫、函谷舉、
"Sở nhân nhất cự, khả liên tiêu thổ!",楚人一炬、可憐焦土！
Ô hô!,嗚呼！
"Diệt lục quốc giả, lục quốc dã, phi Tần dã,",滅六國者、六國也、非秦也、
"Tộc Tần giả, Tần dã, phi thiên hạ dã.",族秦者、秦也、非天下也。
Ta hồ!,嗟乎！
"Sử lục quốc các ái kỳ nhân, tắc túc dĩ cự Tần,",使六國各愛其人、則足以拒秦、
"Tần phục ái lục quốc chi nhân, tắc đệ tam thế khả chí;",秦復愛六國之人、則遞三世可至、
"Vạn thế nhi vi quân, thuỳ đắc nhi tộc diệt dã?",萬世而為君、誰得而族滅也。
"Tần nhân bất hạ tự ai, nhi hậu nhân ai chi,",秦人不暇自哀、而後人哀之、
"Hậu nhân ai chi nhi bất giám chi,",後人哀之而不鑑之、
Diệc sử hậu nhân phục ai hậu nhân dã!,亦使後人復哀後人也！
