vi,ch
"Phong hoà nhật noãn,",風和日暖，
"Cảnh thanh vật u,",景清物幽。
"Vân gian ông hề tiêu dao du,",雲間翁兮逍遙遊，
"Thi nhất nang hề, tửu nhất hồ.",詩一囊兮酒一壼。
"Tụng giả ngũ, lục nhân,",從者五六人，
"“Thi vân”, “Tử viết” trù.",詩云子曰儔。
"Vấn tiên sinh hề hà chi,",問先生兮何之，
Dư tương phỏng hề bàn chi lưu.,余將訪兮蟠之流。
Ư thị:,於是：
"Thư từ tản bộ,",舒徐散步，
Dục khê thuỷ hử,浴溪水滸。
"Tầm độc lạc chi phương viên,",尋獨樂之芳園，
Phỏng vi kỳ chi danh thự.,訪圍棋之名墅。
"Thụ đối khách hề như nghinh,",樹對客兮如迎，
Hoa hướng nhân hề bất ngữ.,花向人兮不語。
"Kí phi phất dĩ ngâm nga,",既披拂以吟哦，
Nãi bồi hồi nhi diên trữ.,乃徘徊而延佇。
"Mao y ước hề ngạn thượng đình,",茅依約兮岸上亭，
"Ngoã sâm si hề thôn biên tự,",瓦參差兮村邊寺。
"Duy xuân thuỷ chi thanh liên,",帷春水之清漣，
Nhược thức dư chi tâm tự.,若識予之心緒。
Ký nhi:,既而：
"Viên trung chủ nhân,",園中主人，
"Khoái lô, canh thuần,",鱠鱸羹蓴。
"Hoảng bàn xan nhi trí bích,",洸盤餐而寘璧，
"Nghi phương thốn chi la trân,",疑方寸之羅珍。
"Hào phỉ tải hề tình thậm chân,",殽匪酨兮情甚真，
Tửu bất nùng hề cam như thuần.,酒不濃兮甘如醇。
"Bỉ mính đính hề tục ẩm,",鄙酩酊兮俗飲，
"Lạc thái hoà hề vi huân,",樂太和兮微薰。
"Thiết uất đào hề dư tâm,",切欝陶兮予心，
"Vọng tây phương hề mĩ nhân,",望西方兮美人，
Bỉ mĩ nhân hề ủng thuý vân.,彼美人兮擁翠雲。
"Ngũ Nhạc thâm hề Anh Vũ lâu,",五岳深兮鸚鵡樓，
Tam Quy tịch hề ngư long động.,三歸寂兮魚龍洞。
"Dịch lộ tam thiên hề thảo thụ vi,",驛路三千兮草樹微，
Hải môn thập nhị hề yên ba mộng.,海門十二兮煙波濛。
"Tưởng tử thát chi hà niên,",想紫闥之何年，
Thực Kinh sơn chi tại mộng.,實荊山之在夢。
"Chước nhất chước hề tuý như si,",酌一酌兮醉如癡，
Ngâm phục ngâm hề chiêm hựu vọng.,吟復吟兮瞻又望。
"Vọng tri kỷ hề thuỳ dữ quy,",望知己兮誰與歸？
Hồng hà lạc hề bạch vân phi.,紅霞落兮白雲飛。
"Cẩu vô oán hề quả oán,",苟無怨兮寡怨，
Năng bất tri hề thị tri.,能不知兮是知。
"Hồi như ngu hề lạc đan biều,",回如愚兮樂簞瓢，
Ung tự tại hề an sài phi.,雍自在兮安柴扉。
"Cổ Uyên Minh hề tố cầm,",鼓淵明兮素琴，
Ca Bát Khuyết hề ly huy.,歌八闋兮離徽。
"Quan thái hư hề tượng mang mang,",觀太虛兮象茫茫，
Phát thiên quang hề ngô hi hi.,發天光兮吾熙熙。
"Thí quan Hà thuỷ,",試觀河水，
"Uông dương thiên lý,",汪洋千里。
"Lưu hồi hoàn hề sinh lạc châu,",流迴還兮生落洲，
Phàm khứ lai hề danh lợi thị.,帆去來兮名利市。
