vi,ch
"Nhuệ giang biên hữu tiêu dao tử,",銳江邊有逍遙子，
Tận nhật tiêu dao vô cá sự.,盡日逍遙無個事。
"An cư thực lực bất ngoại cầu,",安居食力不外求，
Vô sự vô tư diệc vô lự.,無事無思亦無慮。
"Thường ngôn tự thiểu độc thi thư,",嘗言自少讀詩書，
Thánh kinh hiền truyện cần tri dư.,聖經賢傳勤菑畬。
"Văn bất cầu công từ thượng đạt,",文不求工辭尚達，
Hành vân lưu thuỷ tuỳ sở như.,行雲流水隨所如。
"Nhĩ lai bình khứ kinh sinh học,",邇來屏去經生學，
Khoáng đãng bất dung thằng mặc thúc.,曠蕩不容繩墨束。
"Song tiền hưng đáo tiện ngâm nga,",窗前興到便吟哦，
Hoàng đình Nam hoa tuỳ ý độc.,黃庭南華隨意讀
"Bạc điền bán khoảnh cao chi đông,",薄田半頃皋之東，
Thổ tính bảng xác vô thường phong.,土性磅確無常豐。
"Nhật nhật hà sừ lý hoang uế,",日日荷鋤理荒穢，
Điền phu dã tẩu đa tương phùng.,田夫野叟多相逢。
"Tương phùng chỉ thoại nông tang vụ,",相逢只話農桑務，
Khoản khúc thương lượng tình dữ vũ.,款曲商量晴與雨。
"Thất bát nguyệt gian giải chính phì,",七八月間蟹正肥，
Nhi đồng bộ đắc mang trì tiết.,兒童捕得忙持節。
"Hô đồng chích giải cô tân nhưỡng,",呼童炙蟹沽新釀，
Nhất bôi độc chước hoàn hy hy.,一杯獨酌還熙熙。
"Tuý lai nhàn ỷ nam song ngoạ,",醉來閒倚南窗臥，
Thì thì song ngoại lương phong quá.,時時窗外涼風過。
