vi,ch
"Cửu nguyệt vọng hậu thiên khí lương,",九月望後天氣涼，
Bạch nhật ảm thảm thần vô quang.,白日黯慘晨無光。
"Ky nhân bồng phát toạ đoạn sàng,",羈人蓬髮坐斷床，
Bi phong táp táp xuy y thường.,悲風颯颯吹衣裳。
"Bộ đinh khiết lai thanh lang lang,",部丁朅來聲琅琅，
Hoán thủ túc xúc phó sảnh đường.,喚取蹙促赴廳堂。
"Phiên thân hà giới tuỳ nhạn hàng,",翻身荷械隨雁行，
Tệ cân bất chỉnh tẩu thả mang.,敝巾不整走且忙。
"Nhập môn ngục tốt hiệp lưỡng bàng,",入門獄卒挾兩傍，
Đô nhân hãi quan như đổ tường.,都人駭觀如堵牆。
"Đại quan liệt toạ hạ nhất lang,",大官列坐下一郎，
Hô xuất ngục cụ la trí tương.,呼出獄具羅致將。
"Cự đằng chi tiên trường thả trường,",巨藤之鞭長且長，
Phu tử nhục ngạnh nhu như cương.,膚紫肉硬揉如僵。
"Ky nhân yển ngoạ hình thương hoàng,",羈人偃臥形蒼黃，
Hồi đầu trắc cố như kinh dương.,回頭側顧如驚羊。
"Thủ thân cước trực lưỡng nhãn hoang,",手伸脚直兩眼慌，
Vũ hậu thấp độc chưng bàng quang.,雨後濕毒烝膀胱。
"Lương cửu vấn tấn khẩu bất trương,",良久問訊口不張，
Khổ đạo khuất khuất hào khung thương.,苦道屈屈號穹蒼。
"Quan thanh tích lịch tồi đài lương,",官聲霹靂摧臺樑，
Điện quang thiểm thiểm giao phi tường.,電光閃閃交飛翔。
"Hân như song giao bác hoại đường,",掀如雙蛟搏壞塘，
Bãi như lãnh thuỷ quán cấp thang.,罷如冷水灌急湯。
"Lưỡng mộc trác lập thế quật cường,",兩木卓立勢倔彊，
Thân thanh thập nhị hồi tu lang.,呻聲十二迴修廊。
"Ô hô nhất chi xuân hải đường,",嗚呼一枝春海棠，
Tồi chiết bất biện Xương Châu hương.,摧折不辨昌州香。
"Thử thì mộ thiên quýnh thương mang,",此時暮天迥蒼茫，
Đài giác vị ngã phi thanh sương.,臺角為我飛清霜。
"Đằng tiên thuỳ thuỳ khí bất dương,",藤鞭垂垂氣不揚，
Củng lập nhiễu chỉ hồi nhu trường.,拱立繞指迴柔腸。
"Đắc táng mệnh dã nhân chi thường,",得喪命也人之常，
My mục như nhân hà thích thương?,眉目如人何戚傷？
"Quốc ân gia trạch vị thiểu thường,",國恩家澤未少償，
Dũng phu na tử hàn mặc trường.,勇夫那死翰墨場。
Ta tai đằng tiên!,嗟哉藤鞭！
Nhĩ bất kiến:,爾不見：
"Đức Giang chi dương,",德江之陽，
Nguyệt Hằng chi cương.,月恆之崗。
"Thượng hữu bán tử chi tùng bách,",上有半死之松柏，
Đột ngột đống cửu nhi tương vọng.,突兀凍久而相望。
"Cẩu phất khí vu triết tượng,",苟弗棄于哲匠，
Cố vô thủ hồ kê thê dữ dự chương.,固無取乎雞棲與豫章。
Nhi hà tiễn phạt chi đương.,而何剪伐之當。
