vi,ch
"Hoa tạ hoa phi, phi mãn thiên,",花謝花飛飛滿天，
Hồng tiêu hương đoạn hữu thuỳ liên.,紅消香斷有誰憐？
"Du ti nhuyễn hệ phiêu xuân tạ,",遊絲軟系飄春榭，
Lạc nhứ khinh niêm phốc tú liêm.,落絮輕粘扑繡帘。
"Khuê trung nữ nhi tích xuân mộ,",閨中女兒惜春暮，
"Sầu tự mãn hoài vô trước xứ,",愁緒滿懷無著處，
"Thủ bả hoa sừ xuất tú liêm,",手把花鋤出繡帘，
Nhẫn đạp lạc hoa lai phục khứ.,忍踏落花來復去？
"Liễu ti du giáp tự phương phi,",柳絲榆莢自芳菲，
Na quản đào phiêu dữ lý phi.,哪管桃飄與李飛，
"Đào lý minh niên năng tái phát,",桃李明年能再發，
Minh niên khuê trung tri hữu thuỳ.,明年閨中知有誰？
"Tam nguyệt hương sào dĩ luỹ thành,",三月香巢已壘成，
Lương gian yến tử thái vô tình.,梁間燕子太無情，
"Minh niên hoa phát tuy khả trác,",明年花發雖可啄，
Khước bất đạo nhân khứ lương không sào dã khuynh!,卻不道人去梁空巢也傾。
"Nhất niên tam bách lục thập nhật,",一年三百六十日，
Phong đao sương kiếm nghiêm tương bức.,風刀霜劍嚴相逼，
"Minh mị tiên nghiên năng kỷ thì,",明媚鮮妍能几時，
Nhất triêu phiêu bạc nan tầm mịch.,一朝漂泊難尋覓。
"Hoa khai dị kiến lạc nan tầm,",花開易見落難尋，
Giai tiền sầu sát táng hoa nhân.,階前愁煞葬花人，
"Độc ỷ hoa sừ lệ ám sái,",獨倚花鋤淚暗灑，
Sái thượng không chi kiến huyết ngân.,洒上空枝見血痕。
"Đỗ quyên vô ngữ chính hoàng hôn,",杜鵑無語正黃昏，
Hà sừ quy khứ yểm trùng môn.,荷鋤歸去掩重門，
"Thanh đăng chiếu bích nhân sơ thuỵ,",青燈照壁人初睡，
Lãnh vũ xao song bị vị ôn.,冷雨敲窗被未溫。
"Quái nùng để sự bội thương thần,",怪儂底事倍傷神？
Bán vị liên xuân bán não xuân.,半為憐春半惱春，
"Liên xuân hốt chí não hốt khứ,",憐春忽至惱忽去，
Chí hựu vô ngôn khứ bất văn.,至又無言去不聞。
"Tạc tiêu đình ngoại bi ca phát,",昨宵亭外悲歌發，
Tri thị hoa hồn dữ điểu hồn?,知是花魂與鳥魂？
"Hoa hồn điểu hồn tổng nan lưu,",花魂鳥魂總難留，
Điểu tự vô ngôn hoa tự tu.,鳥自無言花自羞。
"Nguyện nùng hiếp hạ sinh song dực,",愿儂脅下生雙翼，
Tuỳ hoa phi đáo thiên tẫn đầu.,隨花飛到天盡頭。
Thiên tẫn đầu! Hà xứ hữu hương khâu?,天盡頭！何處有香丘？
"Vị nhược cẩm nang thu diễm cốt,",未若錦囊收艷骨，
Nhất bồi tịnh thổ yểm phong lưu.,一抔淨土掩風流，
"Chất bản khiết lai hoàn khiết khứ,",質本潔來還潔去，
Bất giao ô náo hãm cừ câu.,不教污淖陷渠溝。
"Nhĩ kim tử khứ nùng thu táng,",爾今死去儂收葬，
Vị bốc nùng thân hà nhật táng.,未卜儂身何日喪？
"Nùng kim táng hoa nhân tiếu si,",儂今葬花人笑痴，
Tha niên táng nùng tri thị thuỳ.,他年葬儂知是誰？
"Thí khán xuân tàn hoa tiệm lạc,",試看春殘花漸落，
Tiện thị hồng nhan lão tử thì.,便是紅顏老死時。
"Nhất triêu xuân tận hồng nhan lão,",一朝春盡紅顏老，
Hoa lạc nhân vong lưỡng bất tri.,花落人亡兩不知！
