vi,ch
"Tuế vân mộ hĩ đa bắc phong,",歲雲暮矣多北風，
"Tiêu Tương, Động Đình, bạch tuyết trung.",瀟湘洞庭白雪中。
"Ngư phụ thiên hàn võng cổ đống,",漁父天寒網罟凍，
Mạc dao xạ nhạn minh tang cung.,莫徭射雁鳴桑弓。
"Khứ niên mễ quý khuyết quân thực,",去年米貴闕軍食，
Kim niên mễ tiện đại thương nông.,今年米賤大傷農。
"Cao mã đạt quan yêm tửu nhục,",高馬達官厭酒肉，
Thử bối trữ trục mao tì không.,此輩杼軸茅茨空。
"Sở nhân trọng ngư bất trọng điểu,",楚人重魚不重鳥，
Nhữ hưu uổng sát nam phi hồng.,汝休枉殺南飛鴻。
"Huống văn xứ xứ chúc nam nữ,",況聞處處鬻男女，
Cát từ nhẫn ái hoàn tô dung.,割慈忍愛還租庸。
"Vãng nhật dụng tiền tróc tư chú,",往日用錢捉私鑄，
Kim hứa diên tích hoà thanh đồng.,今許鉛錫和青銅。
"Khắc nê vi chi tối dị đắc,",刻泥為之最易得，
Hiếu ố bất hợp trường tương mông.,好惡不合長相蒙。
"Vạn quốc thành đầu xuy hoạ giác,",萬國城頭吹畫角，
Thử khúc ai oán hà thì chung.,此曲哀怨何時終。
