vi,ch
"Hồng Môn ngọc đấu phân như tuyết,",鴻門玉鬥紛如雪，
Thập vạn hàng binh dạ lưu huyết.,十萬降兵夜流血。
"Hàm Dương cung điện tam nguyệt hồng,",鹹陽宮殿三月紅，
Bá nghiệp dĩ tuỳ yên tẫn diệt.,霸業已隨煙燼滅。
"Cương cường tất tử nhân nghĩa vương,",剛強必死仁義王，
Âm lăng thất đạo phi thiên vong.,陰陵失道非天亡。
"Anh hùng bản học vạn nhân địch,",英雄本學萬人敵，
Hà dụng tiết tiết bi hồng trang.,何用屑屑悲紅妝。
"Tam quân bại tận tinh kỳ đảo,",三軍敗盡旌旗倒，
Ngọc trướng giai nhân toạ trung lão.,玉帳佳人坐中老。
"Hương hồn dạ trục kiếm quang phi,",香魂夜逐劍光飛，
Thanh huyết hoá vy nguyên thượng thảo.,清血化為原上草。
"Phương tâm tịch mịch ký hàn chi,",芳心寂寞寄寒枝，
Cựu khúc văn lai tự liễm my.,舊曲聞來似斂眉。
"Ai oán bồi hồi sầu bất ngữ,",哀怨徘徊愁不語，
Kháp như sơ thính Sở ca thì.,恰如初聽楚歌時。
"Thao thao thệ thuỷ lưu kim cổ,",滔滔逝水流今古，
Sở Hán hưng vong lưỡng khâu thổ.,楚漢興亡兩丘土。
"Đương niên di sự tổng thành không,",當年遺事總成空，
Khảng khái tôn tiền vị thuỳ vũ.,慷慨尊前為誰舞。
