vi,ch
"Tòng minh hậu nhi hi du hề,",從明後而嬉遊兮，
"Đăng tằng đài, dĩ ngu tình.",登層臺以娛情。
Kiến thái phủ chi quảng khai hề.,見太府之廣開兮，
Quan Thánh đức chi sở dinh,觀聖德之所營。
"Kiến cao môn chi tha nga hề,",建高門之嵯峨兮，
Phù song khuyết hồ Thái thanh.,浮雙闕乎太清。
"Lập trung thiên chi hoa quan hề,",立中天之華觀兮，
Liên phi các hồ Tây Thành.,連飛閣乎西城。
"Lâm Chương thuỷ chi trường lưu hề,",臨漳水之長流兮，
Vọng viên quả chi tư vinh.,望園果之滋榮。
"Lập song đài ư tả hữu hề,",立雙臺於左右兮，
Hữu Ngọc Long dữ Kim Phụng.,有玉龍與金鳳。
"Liên nhị kiều ư đông tây hề,",連二橋於東西兮，
Nhược trường không chi đế đống.,若長空之蝃蝀。
"Phủ hoàng đô chi hoành lệ hề,",俯皇都之宏麗兮，
Khám vân hà chi phù động.,瞰雲霞之浮動。
Hân quần tài chi lai tuỵ hề.,欣群才之來萃兮，
Hiệp phi hùng chi cát mộng.,協飛熊之吉夢。
Ngưỡng xuân phong chi hoà mục hề.,仰春風之和穆兮，
Thính bách điểu chi bi minh.,聽百鳥之悲鳴。
"Thiên vân viên kỳ ký lập hề,",天雲垣其既立兮，
Gia nguyện đắc nhi hoạch sinh.,家願得而獲逞。
"Dương nhân hoá ư vũ nội hề,",揚仁化於宇內兮，
Tận túc cung ư thượng kinh.,盡肅恭於上京。
"Duy hoàn, văn chi vi thịnh hề,",惟桓文之為盛兮，
Khởi túc phương hồ thánh minh.,豈足方乎聖明！
Hưu hỹ! Mỹ hỹ!,休矣！美矣！
Huệ trạch viễn dương.,惠澤遠揚。
Dực tá ngã hoàng gia hề.,翼佐我皇家兮，
Ninh bỉ tứ phương.,寧彼四方。
Đồng thiên địa chi quy lượng hề.,同天地之規量兮，
Tề nhật nguyệt chi huy quang.,齊日月之暉光。
Vĩnh quý tôn nhi vô cực hề.,永貴尊而無極兮，
Đẳng quân thọ ư đông hoàng.,等君壽於東皇。
Ngự long kỳ dĩ ngao du hề,御龍旂以遨遊兮，
Hồi loan giá nhi chu chương.,迴鸞駕而周章。
"Ân hoá cập hồ tứ hải hề,",恩化及乎四海兮，
Gia vật phụ nhi dân khang.,嘉物阜而民康。
"Nguyện tư đài chi vĩnh cố hề,",願斯臺之永固兮，
Lạc chung cổ nhi vị ương!,樂終古而未央！
