vi,ch
"Thiên dục tuyết vân mãn hồ,",天欲雪雲滿湖，
Lâu đài minh diệt san hữu vô.,樓臺明滅山有無。
"Thuỷ thanh thạch xuất ngư khả sổ,",水清石出魚可數，
Lâm thâm vô nhân điểu tương hô.,林深無人鳥相呼。
"Lạp nhật bất quy đối thê nô,",臘日不歸對妻孥，
Danh tầm đạo nhân thực tự ngu.,名尋道人實自娛。
"Đạo nhân chi cư tại hà hử?,",道人之居在何許，
Bảo Vân sơn tiền lộ bàn vu.,寶雲山前路盤紆。
"Cô sơn cô tuyệt thuỳ khẳng lư?,",孤山孤絕誰肯廬，
Đạo nhân hữu đạo sơn bất cô.,道人有道山不孤。
"Chỉ song trúc ốc thâm tự noãn,",紙窗竹屋深自暖，
Ủng hạt toạ thuỵ y đoàn bồ.,擁褐坐睡依團蒲。
"Thiên hàn lộ viễn sầu bộc phu,",天寒路遠愁僕夫，
Chỉnh giá thôi quy cập vị bô.,整駕催歸及未晡。
"Xuất san hồi vọng vân mộc hợp,",出山回望雲木合，
Đãn kiến dã cốt bàn phù đồ.,但見野鶻盤浮圖。
"Tư du đạm bạc hoan hữu dư,",慈遊淡泊歡有餘，
Đáo gia hoảng như mộng cừ cừ.,到家恍如夢蘧蘧。
"Tác thi hoả cấp truy vong bô,",作詩火急追亡逋，
Thanh cảnh nhất thất hậu nan mô.,清景一失後難摹。
