vi,ch
"Nhất thế chi hùng an tại tai,",一世之雄安在哉，
Cổ nhân khứ hề kim nhân lai.,古人去兮今人來。
"Bất kiến Nghiệp trung Nguỵ Vũ Đế,",不見鄴中魏武帝，
Đãn kiến giang biên Đồng Tước đài.,但見江邊銅雀臺。
"Đài cơ tuy tại dĩ khuynh bĩ,",臺基雖在已傾圮，
Âm phong nộ hào thu thảo mĩ.,陰風怒號秋草靡。
"Ngọc Long, Kim Phượng tận mang mang,",玉龍金鳳盡茫茫，
Hà huống đài trung ca vũ kỹ.,何況臺中歌舞妓。
"Tư nhân thịnh thời thuỳ cảm đương,",斯人盛時誰敢當，
Miễu thị hoàng đế lăng hầu vương.,眇視皇帝凌侯王。
"Chỉ hận tằng đài không luật ngột,",只恨層臺空律屼，
Tiểu Kiều chung lão giá Chu Lang.,小喬終老嫁周郎。
"Nhất triêu đại hạn hữu thì chí,",一朝大限有時至，
Thượng thực tấu ca đồ duyệt quỷ.,尚食奏歌圖悅鬼。
"Phân hương mại lí khổ đinh ninh,",分香賣履苦叮嚀，
Lạc lạc trượng phu hà nhĩ nhĩ.,落落丈夫何爾爾。
"Gian hùng biệt tự hữu cơ tâm,",奸雄別自有機心，
Bất thị minh ai nhi nữ khí.,不是鳴哀兒女氣。
"Thiên cơ vạn xảo tận thành không,",千機萬巧盡成空，
Chung cổ thương tâm Chương Giang thuỷ.,終古傷心漳江水。
"Ngã tư cổ nhân thương ngã tình,",我思古人傷我情，
Bồi hồi phủ ngưỡng bi phù sinh.,徘徊俯仰悲浮生。
"Như thử anh hùng thả như thử,",如此英雄且如此，
Huống hồ thốn công dữ bạc danh.,況乎寸功與薄名。
"Nhân gian huân nghiệp nhược trường tại,",人間勳業若長在，
Thử địa cao đài ưng vị khuynh.,此地高臺應未傾。
