vi,ch
"Ê nhân văn chi vị tuyên hề, ẩn thái phác chi thuần chất.",繄人文之未宣兮，隱太璞之醇質。
"Viên kết thằng dĩ vi ước hề, cố vị tri phù kỷ thuật.",爰結繩以為約兮，固未知夫紀述。
"Vĩ Hy Hiên chi thánh thần hề, nguyên thiên đạo nhi kiến cực.",偉羲軒之聖神兮，原天道而建極。
"Tạo thư khế dĩ lợi dụng hề, hiệp tư văn ư tải tịch.",造書契以利用兮，協斯文於載籍。
"Lập sử quan dĩ trì pháp hề, chính quân thần chi điển tắc.",立史官以持法兮，正君臣之典則。
"Đãi Nghiêu, Thuấn chi kế thống hề, công hữu quang ư tiền nhật.",迨堯舜之繼統兮，功有光於前日。
"Vũ, Thang nghiễm dĩ chỉ kính hề, Kiệt, Trụ túng dĩ bạo ngược.",禹湯儼以祇敬兮，桀紂縱以暴虐。
"Văn, Vũ mục dĩ ý cung hề, U, Lệ hôn nhi tường tặc.",文武穆以懿恭兮，幽厲昏而戕賊。
"Bỉ dĩ đức nhi hưng long hề, thử dĩ hôn nhi táng quốc.",彼以德而興隆兮，此以昏而喪國。
"Thuỳ bỉnh bút nhi trực thư hề, cụ chiêu chiêu ư sử sách?",誰秉筆而直書兮，具昭昭於史冊。
"Ta! Cơ triệt chi đông thiên hề, vương cương đồi nhi phất thực.",嗟！姬轍之東遷兮，王綱頹而弗植。
"Can qua mãn ư vũ nội hề, nhân cầm thú nhi tương thực.",干戈滿於宇內奚，人禽獸而相食。
"Thần thí quân nhi tử thí phụ hề, di luân tòng nhi dẫn tức.",臣弒君而子弒父兮，彞倫從而泯息。
"Xác Đổng Hồ chi đặc lập hề, tư cổ nhân chi thị thức.",確董狐之特立兮，思古人之是式。
"Thường kiển kiển nhi phỉ cùng hề, tận trung thành ư sử chức.",常褰褰而匪窮兮，盡忠誠於史職。
"Khu lôi đình dĩ phấn uy hề, định giám hành ư hung ức.",驅雷霆以奮威兮，定鑑衡於胸臆。
"Thục phi thiện chi khả xưng hề, thục phi ác nhi khả truất.",孰非善之可稱兮，孰非惡而可黜。
"Chấp bút trực dĩ đại thư hề, vô hào ly chi cảm thắc.",執筆直以大書兮，無毫釐之敢忒。
"Minh vạn cổ chi thị phi hề, chính đương thời chi đắc thất.",明萬古之是非鼷，正當時之得失。
"Bao biếm nghiêm ư thưởng phạt hề, nghị luận đoạn ư phủ chất.",褒貶嚴於賞罰兮，議論斷於斧鑕。
"Khái Linh Công chi vô đạo hề, vụ hậu liễm ư sinh dân.",慨靈公之無道兮，務厚斂於生民。
"Sát tể phu chi nhi hùng hề, tòng đài thượng dĩ đạn nhân.",殺宰夫之胹熊兮，從臺上以彈人。
"Nhật khang ngu nhi bất dĩ hề, Tuyên Tử gián nhi di sân.",日康娛而不已兮，宣子諫而彌嗔。
"Nãi mệnh Nghê dĩ kích sát hề, Nghê xúc hoè nhi tễ.",乃命麑以擊殺兮，麑觸槐而斃。
"Phục thiết tửu dĩ thốc ngao hề, ngao sước giai nhi truy phệ.",復設酒以嗾獒兮，獒躇階而追噬。
"Tuyên Tử cụ nhi vong tẩu hề, Tấn quốc loạn dĩ phân phân.",宣子懼而亡走兮，晉國亂以紛紛。
"Phân tập sát ư đào viên hề, nại thần tử chi nhẫn văn.",分襲殺於桃園兮，奈臣子之忍聞。
"Thuẫn văn chi nhi phục khấp hề, tích tự nhĩ ư sát quân.",盾聞之而復泣兮，跡似邇於殺君。
"Vong bất việt cảnh dĩ tuyệt phận hề, quy bất thảo tặc dĩ thù ân.",亡不越境以絕分兮，歸不討賊以酬恩。
"Y! Khứ tựu tịnh thất nghĩa hề, cố nan đào kỳ trách vân.",伊！去就並失義兮，固難逃其責云。
"Vĩ Thái sử chi bút pháp hề, yết quân thần chi đại nghĩa.",偉太史之筆法兮，揭君臣之大義。
"Thư hữu tội dĩ thị triều hề, bất thủ sát nhi viết sát.",書有罪以示朝兮，不手殺而曰殺。
"Xả thao qua nhi tru đồng thất hề, nguyên Chính Khanh chi hữu ý.",捨操戈而誅同室兮，原正卿之有意。
"Danh Di Cao dĩ hiển ác hề, thị quân đức chi mỹ ý.",名夷皋以顯惡兮，示君德之靡懿。
"Nhất lạc bút, nhi lưỡng tội chương hề, đắc Xuân thu chi vi chỉ.",一落筆而兩罪彰兮，得春秋之微旨。
"Phương hàm hào nhi nhu mặc hề, quỷ thần kinh nhi ảnh tị.",方含毫而濡墨兮，鬼神驚而影避。
"Bài trùng môn nhi khải độc hề, thư đại ác nhi bất huý.",排重門而啟牘兮，書大惡而不諱。
"Phù vương cương ư ký hoại hề, chấn vương pháp ư dĩ truỵ.",扶王綱於既壞兮，振王法於已墜。
"Lẫm kình khí ư mang đoan hề, thuỳ thâm giới ư hậu thế.",凜勁氣於鋩端兮，垂深戒於後世。
"Vu dĩ bế tiểu nhân chi tà tâm hề, vu dĩ cảnh hậu vương chi tứ chí.",于以閉小人之邪心兮，于以警後王之肆志。
"Vu dĩ cẩn lý sương chi tiệm hề, vu dĩ phòng kiên băng chi chí.",于以謹履霜之漸兮，于以防堅冰之至。
"Loạn thần văn chi nhi ty phách hề, tặc tử kiến chi nhi táng khí.",亂臣聞之而禠魄兮，賊子見之而喪氣。
"Cố sử dật chi tiền văn hề, thị Đổng Hồ nhi hữu quý.",顧史佚之前聞兮，視董狐而有愧。
"Ý Trọng Ni chi pháp thiên hề, hoạn tiền sử chi đảo trí.",懿仲尼之法天兮，患前史之倒置。
"Nhân cựu văn nhi bút tước hề, đoán trung tà chi thành nguỵ.",因舊文而筆削兮，斷忠邪之誠偽。
"Vị Hồ bút chi vi chân hề, cố bất soán ư nhất tự.",謂狐筆之為真兮，故不竄於一字。
"Sử thiên tải chi nghịch loạn hề, thượng văn phong nhi chuý chuý.",使千載之逆亂兮，尚聞風而惴惴。
"Tự phi hung trung minh kính, bút hạ Xuân thu hề, hạt năng chí thị.",自非胸中明鏡，筆下春秋兮，曷能至是。
"Nghi hồ Tả thị thư chi, vi cổ lương sử hề, lịch thiên tải nhi bất dẫn kỳ nghĩa.",宜乎左氏書之，為古良史兮，歷千載而不泯其義。
"Ta dư sinh chi cống trực hề, ngưỡng tiền thánh nhi tự xí.",嗟予生之戇直兮，仰前聖而自企。
"Phủ Lân kinh nhi tăng hy hề, nhận trung chính dĩ tự bội.",拊麟經而增欷兮，紉中正以自佩。
"Y dục chỉ thanh thiên nhi bút Thái Hoa hề, thứ hồ thư thánh triều chi tường thuỵ nhi dĩ.",伊欲紙青天而筆太華兮，庶乎書聖朝之祥瑞而已。
