vi,ch
"Hà trung chi thuỷ hướng đông lưu,",河中之水向東流，
Lạc Dương nữ nhi danh Mạc Sầu.,洛陽女兒名莫愁。
"Mạc Sầu thập tam năng chức ỷ,",莫愁十三能織綺，
"Thập tứ thái tang nam mạch đầu,",十四采桑南陌頭，
"Thập ngũ giá vi Lư lang phụ,",十五嫁為盧郎婦，
Thập lục sinh nhi tự A Hầu.,十六生兒字阿侯。
"Lư gia lan thất quế vi lương,",盧家蘭室桂為梁，
Trung hữu úc kim tô hợp hương.,中有郁金蘇合香。
"Đầu thượng kim thoa thập nhị hàng,",頭上金釵十二行，
Túc hạ ti lý ngũ văn chương.,足下絲履五文章。
"San hô quải kính lạn sinh quang,",珊瑚掛鏡爛生光，
Bình đầu nô tử kình lý tương.,平頭奴子擎履箱。
"Nhân sinh phú quý hà sở vọng,",人生富貴何所望，
Hận bất tảo giá đông gia Vương.,恨不早嫁東家王。
