vi,ch
"Phú Xuân kiều thượng nam lai lộ,",富春橋上南來路，
Cận bí đăng trình kinh tứ độ.,覲轡登程經四度。
"Thừa minh tuyên thất nhĩ thần lưu,",承明宣室邇宸旒，
Xu phó bất tri ki huống khổ.,趨赴不知羈況苦。
"Thể thần đa phụng giả hoàn triều,",體臣多奉假還朝，
Tản đảo Lô giang thị ngô thổ.,傘島瀘江是吾土。
"Tuế hoa nhẫm nhiễm nhân bạch đầu,",歲華荏苒人白頭，
Tích dạng sơ ta khiếp phong lộ.,積恙初瘥怯風露。
"Chiêm mệnh hoàng hoàng uý giản thư,",占命煌煌畏簡書，
Vạn lũ gia tình bất hạ cố.,萬縷家情不暇顧。
"Trường đình dương liễu tuyết hoa phi,",長亭楊柳雪花飛，
Chinh tứ thôi nhân sổ thanh cổ.,征思催人數聲鼓。
"Khách trình cánh thị đa khảm kha,",客程更是多坎坷，
"Tam Điệp phỉ côn, Hoành sơn hổ.",三疊匪棍橫山虎。
"Tiêu tao sóc xuý tống khinh cừu,",蕭騷朔吹送輕裘，
Hải giác thiên nhai niên hựu mộ.,海角天涯年又暮。
"Mãn xoang trung tín hà hiểm di,",滿腔忠信何險夷，
Mai dịch sổ thiên câu thản bộ.,梅驛數千俱坦步。
"Thiếu vịnh nham khê táp nguyệt trung,",眺詠岩溪匝月中，
Dao kỳ phóng đáo kiều đầu phố.,瑤畿訪到橋頭浦。
"Kim thang thành tiệm tự củng hoàn,",金湯城塹自拱環，
La ỷ đình đài tương thôn thổ.,羅綺亭臺相吞吐。
"Ngũ sắc tường vân xương hạp gian,",五色祥雲閶闔間，
Cấm thát ký tằng đế sủng ngộ.,禁闥記曾締寵遇。
"Sơ dung tự phận viễn giang hồ,",疏慵自分遠江湖，
Quí hướng nham lang liệt khuê tổ.,愧向岩廊列圭組。
"Thuân tuần nguyệt lẫm kế phiên kỳ,",逡巡月廩計番期，
Văn hàn nhất kĩ tương hề thố.,文翰一技將奚措。
"Ngọc kinh xuân sắc ủng du nhân,",玉京春色擁遊人，
Vô chi mị khuyết hữu mị bổ.,無之靡闕有靡補。
"Quy an tảo phóng xuất tư kiều,",歸鞍早訪出斯橋，
Mang hướng Bích Câu hoa trúc ổ.,忙向碧溝花竹塢。
