vi,ch
"Hoàng kim thác đao bạch ngọc trang,",黃金錯刀白玉裝，
Dạ xuyên song phi xuất quang mang.,夜穿窗扉出光芒。
"Trượng phu ngũ thập công vị lập,",丈夫五十功未立，
Đề đao độc lập cố bát hoang.,提刀獨立顧八荒。
"Kinh hoa kết giao tận kỳ sĩ,",京華結交盡奇士，
Ý khí tương kỳ cộng sinh tử.,意氣相期共生死。
"Thiên niên sử sách sỉ vô danh,",千年史策恥無名，
Nhất phiến đan tâm báo thiên tử.,一片丹心報天子。
"Nhĩ lai tòng quân thiên Hán Tân,",爾來從軍天漢濱，
Nam Sơn hiểu tuyết ngọc lân tuân.,南山曉雪玉嶙峋。
"Ô hô! Sở tuy tam hộ năng vong Tần,",嗚呼！楚雖三戶能亡秦，
Khởi hữu đường đường Trung Quốc không vô nhân!,豈有堂堂中國空無人！
