vi,ch
"Ngô Cối quát chúng san,",吳會括眾山，
Tập tập bất khả sổ.,戢戢不可數。
"Kỳ gian hiệu Thiên Bình,",其間號天平，
Đột ngột vi chi chủ.,突兀為之主。
"Kiệt nhiên trấn Tây nam,",杰然鎮西南，
Quần lĩnh tranh củng phụ.,群嶺爭拱輔。
"Ngô tri tạo vật ý,",吾知造物意，
Tất dĩ bình thiên phủ.,必已屏天府。
"Thanh khê chí kỳ hạ,",青溪至其下，
Ngưỡng thị thế như vũ.,仰視勢如舞。
"Vĩ thạch như trường nhân,",偉石如長人，
Thụ lập dục ngôn ngữ.,豎立欲言語。
"Môn la duyên hiểm đặng,",捫蘿緣險磴，
Lạn mạn tùng trúc cổ.,爛漫松竹古。
"Trung yêu hữu nguy đình,",中腰有危亭，
Tiền đối thuý bích cử.,前對翠壁舉。
"Thạch đậu bính ngọc tuyền,",石竇迸玉泉，
Linh linh tứ thời vũ.,泠泠四時雨。
"Nguyên sinh bạch vân gian,",源生白雲間，
Nhan sắc nhược phấn nhũ.,顏色若粉乳。
"Hạn niên hoặc bá sái,",旱年或播洒，
Nhuận khả túc cửu thổ.,潤可足九土。
"Nại hà đãn hoằng trừng,",柰何但泓澄，
Vị vi ứng long thủ.,未為應龍取。
"Dư tài khí trần trung,",予才棄塵中，
Nham hác tố tự hứa.,岩壑素自許。
"Bàn hoàn trạch hùng thắng,",盤桓擇雄胜，
Chí thử khoái tâm lữ.,至此快心膂。
"Thứ đắc nhĩ mục thanh,",庶得耳目清，
Chung cam tử vu hổ.,終甘死于虎。
