vi,ch
"Nhai đông nhai tây giảng Phật kinh,",街東街西講佛經，
Tràng chung xuy loa náo cung đình.,撞鍾吹螺鬧宮庭。
"Quảng trương phúc tội tư dụ hiếp,",廣張福罪資誘脅，
Thính chúng hiệp kháp bài phù bình.,聽眾狎恰排浮萍。
"Hoàng y đạo sĩ diệc giảng thuyết,",黃衣道士亦講說，
Toà hạ liêu lạc như minh tinh.,座下寥落如明星。
"Hoa sơn nữ nhi gia phụng đạo,",華山女兒家奉道，
Dục khu dị giáo quy tiên linh.,欲驅異教歸仙靈。
"Tẩy trang thức diện trước quan bí,",洗妝拭面著冠帔，
Bạch yết hồng giáp trường mi thanh.,白咽紅頰長眉青。
"Toại lai thăng toà diễn chân quyết,",遂來升座演真訣，
Quan môn bất hứa nhân khai quynh.,觀門不許人開扃。
"Bất tri thuỳ nhân ám tương báo,",不知誰人暗相報，
Hoanh nhiên chấn động như lôi đình.,訇然振動如雷霆。
"Tảo trừ chúng tự nhân tích tuyệt,",掃除眾寺人跡絕，
Hoa lưu tái lộ liên truy bình.,驊騮塞路連輜軿。
"Quan trung nhân mãn toạ quan ngoại,",觀中人滿坐觀外，
Hậu chí vô địa vô do thính.,後至無地無由聽。
"Trừu thoa thoát xuyến giải hoàn bội,",抽釵脫釧解環珮，
Đôi kim điệp ngọc quang thanh huỳnh.,堆金疊玉光青熒。
Thiên môn quý nhân truyền chiếu triệu:,天門貴人傳詔召：
“Lục cung nguyện thức suất nhan hình”.,六宮願識帥顏形。
"Ngọc hoàng lãnh thủ hứa quy khứ,",玉皇領首許歸去，
Thừa long giá hạc lai thanh minh.,乘龍駕鶴來青冥。
"Hào gia thiếu niên khởi tri đạo,",豪家少年豈知道，
Lai nhiễu bách tạp cước bất đình.,來繞百匝腳不停。
"Vân song vụ các sự hoảng hốt,",雲窗霧閣事慌惚，
Trùng trùng thuý mạn thâm kim bình.,重重翠幔深金屏。
"Tiên thê nan phan tục duyên trọng,",仙梯難攀俗緣重，
Lãng bằng thanh điểu thông đinh ninh.,浪憑青鳥通丁寧。
