vi,ch
"Dữ huynh hành niên hiệu nhất tuế,",與兄行年校一歲，
Hiền giả thị huynh ngu giả đệ.,賢者是兄愚者弟。
"Huynh tương phú quý đẳng phù vân,",兄將富貴等浮雲，
Đệ thiết công danh hảo quyền thế.,弟切功名好權勢。
"Trường An thu vũ thập nhật nê,",長安秋雨十日泥，
Ngã tào bị mã thính thần kê.,我曹鞴馬聽晨雞。
"Công khanh chu môn vị khai toả,",公卿朱門未開鎖，
Ngã tào dĩ đáo kiên tương tề.,我曹已到肩相齊。
"Ngô huynh thuỵ ổn phương thư tất,",吾兄睡穩方舒膝，
Bất miệt bất cân tháp hiểu nhật.,不襪不巾蹋曉日。
"Nam đề nữ khốc mạc ngã tri,",男啼女哭莫我知，
Thân thượng tu tăng phúc trung thực.,身上須繒腹中實。
"Kim niên tư ngã lai Gia Châu,",今年思我來嘉州，
Gia Châu tửu trùng hoa nhiễu lâu.,嘉州酒重花繞樓。
"Lâu đầu khiết tửu lâu hạ ngoạ,",樓頭喫酒樓下臥，
Trường ca đoản vịnh hoàn tương thù.,長歌短詠還相酬。
"Tứ thì bát tiết hoàn câu lễ,",四時八節還拘禮，
Nữ bái đệ thê nam bái đệ.,女拜弟妻男拜弟。
"Bức cân bàn đới bất quải thân,",幅巾鞶帶不挂身，
Đầu chỉ túc cấu hà tằng tẩy.,頭脂足垢何曾洗。
"Ngô huynh ngô huynh Sào, Hứa luân,",吾兄吾兄巢許倫，
Nhất sinh hỉ nộ trường nhậm chân.,一生喜怒長任真。
"Nhật tà chẩm trửu tẩm dĩ thục,",日斜枕肘寢已熟，
Thu thu tức tức vị hà nhân.,啾啾唧唧為何人。
